gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	0	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.3364436492	1
51604	0.4312427454	1
290	1.817411869	1
51606	0.966003128	1
586	nan	1
4832	nan	1
587	nan	1
56052	0.0677614588	1
4522	2.4310772894	1
270	nan	1
271	1.6432990729	1
275	nan	1
80201	0.5881883961	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	2.0800151924	1
53354	nan	1
10380	nan	1
8942	nan	1
7264	1.3199819963	1
84693	nan	1
7263	nan	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	0.677389078	1
10164	nan	1
2739	1.0537338351	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	nan	1
1622	2.3625647427	1
1621	nan	1
10090	nan	1
5184	1.1054741405	1
1629	nan	1
8836	1.4569354693	1
8833	2.3189120414	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	nan	1
4258	nan	1
23057	nan	1
4257	nan	1
1178	nan	1
5538	0.9456721048	1
29925	nan	1
11164	1.1212373434	1
50700	nan	1
1579	nan	1
8760	0.3236002511	1
1573	nan	1
1572	nan	1
79717	nan	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	nan	1
8540	1.8227499609	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.3659424806	1
6574	nan	1
6575	nan	1
6578	0.0822131874	1
6579	nan	1
1371	nan	1
8509	nan	1
1373	nan	1
1374	nan	1
1376	nan	1
28965	nan	1
2744	4.8188717912	1
23475	nan	1
2747	nan	1
2746	2.4191374585	1
23478	nan	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.38447929	1
128869	nan	1
6783	nan	1
4729	1.2416121567	1
4728	nan	1
4724	nan	1
4726	nan	1
4720	nan	1
4723	0.9540663457	1
4722	1.5952570667	1
64849	nan	1
64841	nan	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.0524100567	1
293	3.0579091465	1
64600	nan	1
51102	nan	1
291	nan	1
51109	1.6976209038	1
9536	nan	1
125061	nan	1
9245	nan	1
