gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	0.0033582217	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.2281757907	1
51604	1.0763914667	1
290	2.1189231778	1
51606	1.2520247629	1
586	nan	1
4832	1.1277741759	1
587	nan	1
56052	0.7423694236	1
4522	2.772540502	1
270	nan	1
271	1.6108305667	1
275	nan	1
80201	2.325222202	1
108	nan	1
109	nan	1
56901	nan	1
100	0.855685516	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	0.7475374256	1
10632	1.8682835364	1
53354	nan	1
10380	1.3423705835	1
8942	1.3065612596	1
7264	1.5785743476	1
84693	0.2966018156	1
7263	1.489950941	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	1.2362459232	1
10164	nan	1
2739	2.1510815848	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0	1
1622	2.4451344079	1
1621	nan	1
10090	nan	1
5184	1.260358588	1
1629	nan	1
8836	1.5121574846	1
8833	1.9880794837	1
3340	0.1033617209	1
5051	nan	1
1757	nan	1
4259	1.4588542611	1
4258	1.022174427	1
23057	nan	1
4257	2.6209585568	1
1178	nan	1
5538	1.2632502298	1
29925	0.530308944	1
11164	1.8228283039	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	0.4888899212	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.2631690381	1
8540	0.1806834333	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.4399229191	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.3159020676	1
8509	nan	1
1373	nan	1
1374	nan	1
1376	1.0638730112	1
28965	nan	1
2744	4.5816758079	1
23475	2.0158418404	1
2747	nan	1
2746	2.3152903598	1
23478	1.8365637784	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	0.9869152573	1
128869	0	1
6783	nan	1
4729	0.9678101644	1
4728	1.2011366688	1
4724	nan	1
4726	1.4865659318	1
4720	1.43617734	1
4723	0.958297616	1
4722	1.6253714541	1
64849	nan	1
64841	0.301832992	1
11282	0	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
