gene	mean	var
55349	nan	1
55343	0.637130546	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	0.6045866381	1
10965	nan	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.6228603589	1
51604	1.2998227105	1
290	nan	1
51606	0.8856888558	1
586	nan	1
4832	1.2105412605	1
587	1.3853688294	1
56052	nan	1
4522	2.8277135076	1
270	nan	1
271	nan	1
275	nan	1
80201	1.6931034501	1
108	nan	1
109	nan	1
56901	nan	1
100	0.7313066911	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	0.8937567151	1
10632	2.4363408648	1
53354	nan	1
10380	0.8375385046	1
8942	1.5149404095	1
7264	1.3817996871	1
84693	nan	1
7263	1.6236577011	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.2125257426	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.8423688897	1
1622	1.8585294256	1
1621	nan	1
10090	nan	1
5184	1.7405608729	1
1629	nan	1
8836	1.5492265076	1
8833	2.3392809564	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	0.4834722541	1
4258	0.9678582493	1
23057	nan	1
4257	2.121946056	1
1178	nan	1
5538	0.9182945383	1
29925	nan	1
11164	1.7292987256	1
50700	nan	1
1579	nan	1
8760	0.9926448794	1
1573	nan	1
1572	nan	1
79717	0.6207625715	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.9320249942	1
51478	nan	1
8540	2.1180791118	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.8766385864	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	0.8584572657	1
8509	nan	1
1373	2.6150582375	1
1374	1.8444288052	1
1376	1.4160077022	1
28965	nan	1
2744	1.8695918048	1
23475	nan	1
2747	nan	1
2746	2.0826809849	1
23478	1.8320735548	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.5063752528	1
65263	1.0744898458	1
128869	0.2860235929	1
6783	nan	1
4729	1.5761915165	1
4728	1.5008674409	1
4724	0.4689302018	1
4726	1.4426170622	1
4720	0.151517568	1
4723	0.7908123114	1
4722	1.7985612728	1
64849	nan	1
64841	1.3012383225	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	1.6272013988	1
293	3.1010503088	1
64600	nan	1
51102	nan	1
291	0.8794864939	1
51109	1.802050074	1
9536	0.3278537662	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	nan	1
175	nan	1
2053	nan	1
2052	2.1491749333	1
4538	nan	1
30061	nan	1
4536	nan	1
26035	0.5566017326	1
10400	nan	1
9334	nan	1
10402	nan	1
9331	nan	1
53343	0.6023984717	1
10390	nan	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	nan	1
5198	2.3430129061	1
10087	0.447105934	1
1962	0.9563928847	1
115019	nan	1
2877	0.763067804	1
2875	nan	1
54187	1.03281308	1
2878	nan	1
54344	1.3003447888	1
11238	nan	1
79017	1.7506010336	1
23517	0.9539918888	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	1.6070582094	1
1549	nan	1
8714	2.0024711518	1
83733	nan	1
549	0.5052141611	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	nan	1
6561	nan	1
6560	0.225505211	1
6563	nan	1
410	nan	1
411	nan	1
412	nan	1
1384	1.323494261	1
23464	nan	1
55326	0.6235691798	1
65985	0.866688163	1
8443	1.0499560167	1
256435	nan	1
55748	1.3749489832	1
366	nan	1
383	nan	1
384	nan	1
4758	nan	1
4759	0.9577566025	1
92745	nan	1
27159	nan	1
9962	nan	1
9963	nan	1
60481	1.2084141296	1
2194	3.0171100427	1
250	nan	1
251	nan	1
55811	nan	1
2203	nan	1
124935	nan	1
57678	nan	1
201562	0.6644658118	1
63917	nan	1
57419	nan	1
94005	1.4849122158	1
79837	nan	1
7841	0.9980009425	1
4831	3.0486738823	1
4830	0.863856625	1
4524	nan	1
84105	0.3063775246	1
4837	1.9009208089	1
7991	0.4960257577	1
2519	nan	1
2517	nan	1
9615	nan	1
2730	1.7689731929	1
2731	1.1081800701	1
5298	nan	1
9348	nan	1
10166	nan	1
10165	2.2715327122	1
5295	nan	1
5293	nan	1
5290	nan	1
5291	nan	1
9187	nan	1
57094	nan	1
5050	2.287945253	1
83852	nan	1
5052	3.4839120708	1
5053	nan	1
84076	nan	1
1811	nan	1
10768	1.0287156375	1
54407	1.0068738426	1
54995	0.5343503443	1
4953	nan	1
1609	nan	1
9296	nan	1
1603	2.1560925396	1
1607	nan	1
1606	nan	1
8854	nan	1
5476	1.58223138	1
5471	nan	1
347734	1.2594586651	1
5277	1.2547239293	1
5279	nan	1
7054	nan	1
2998	nan	1
1158	nan	1
8639	nan	1
8140	2.506398443	1
