gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	1.0551912446	1
10965	nan	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.4951461135	1
51604	0.9079226439	1
290	2.0841794641	1
51606	1.1962005948	1
586	0.2614604964	1
4832	nan	1
587	1.6310994213	1
56052	nan	1
4522	2.2522746207	1
270	nan	1
271	0.8982010669	1
275	nan	1
80201	2.3747606236	1
108	nan	1
109	nan	1
56901	nan	1
100	1.4167780063	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	1.5565190925	1
53354	nan	1
10380	1.4044621008	1
8942	nan	1
7264	1.5041898263	1
84693	nan	1
7263	1.1426118336	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.2635342813	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	nan	1
1622	0.8646399351	1
1621	nan	1
10090	nan	1
5184	1.5727816916	1
1629	nan	1
8836	1.6466363155	1
8833	2.1123943686	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	nan	1
4258	nan	1
23057	nan	1
4257	1.3198751193	1
1178	nan	1
5538	1.9541573312	1
29925	0.405165317	1
11164	1.5831068367	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	0.0736489801	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.0371660854	1
8540	2.031638414	1
6572	nan	1
6573	0	1
6570	nan	1
6571	nan	1
6576	1.7759851886	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.4564414357	1
8509	nan	1
1373	nan	1
1374	0.4562592815	1
1376	1.1137194613	1
28965	nan	1
2744	4.8511841851	1
23475	1.980315474	1
2747	nan	1
2746	2.7362931892	1
23478	1.0464193266	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	0.8977304196	1
128869	0	1
6783	nan	1
4729	0.6230731267	1
4728	0.5467188685	1
4724	nan	1
4726	nan	1
4720	1.1721565002	1
4723	0.3481175705	1
4722	1.2757338049	1
64849	nan	1
64841	0.6838788529	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.1220472063	1
293	3.1215693449	1
