gene	mean	var
55349	0.680525847532	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	0.455607122307	1
51268	nan	1
343	nan	1
3992	0.739576117209	1
3990	nan	1
55902	0.782528255177	1
55907	0.746669909604	1
10965	nan	1
4731	2.27144887531	1
81539	1.06223352476	1
81537	0.616665456529	1
154091	nan	1
55586	nan	1
292	2.65663786902	1
51604	1.34648336856	1
290	0.4878135859	1
51606	0.862843532836	1
586	1.38684279285	1
4832	1.66921195102	1
587	0.679066156259	1
56052	1.00571191415	1
4522	2.17869185564	1
270	nan	1
271	1.14842486903	1
275	nan	1
80201	0.998050844601	1
108	nan	1
109	nan	1
56901	0.627060695423	1
100	0.371681691408	1
107	nan	1
9435	nan	1
79813	0.548132512776	1
84129	nan	1
79814	0.766214976758	1
9415	1.03328446862	1
10632	1.71983145163	1
53354	nan	1
10380	1.43784223692	1
8942	1.79731876628	1
7264	0.869121499434	1
84693	1.19186511808	1
7263	1.61885721807	1
5296	1.13536348212	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	0.94131639448	1
10164	nan	1
2739	1.88633818782	1
98	0.650139585026	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.33255650949	1
1622	1.86045329433	1
1621	nan	1
10090	nan	1
5184	1.08317529228	1
1629	0.591680802762	1
8836	1.46455896957	1
8833	1.92310181016	1
3340	nan	1
5051	0.127172769745	1
1757	nan	1
4259	1.65841931206	1
4258	1.53208725756	1
23057	nan	1
4257	2.36106117387	1
1178	nan	1
5538	1.49426852084	1
29925	1.0257029196	1
11164	1.68734895971	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	1.10169758186	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.2386581979	1
51478	1.00572882625	1
8540	1.74289391756	1
6572	nan	1
6573	0.129851697526	1
6570	nan	1
6571	nan	1
6576	1.63485225856	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	0.59891853881	1
8509	nan	1
1373	2.72053953116	1
1374	1.37767148771	1
1376	1.49212849382	1
28965	nan	1
2744	2.56709067496	1
23475	0.36261594862	1
2747	nan	1
2746	1.81132288876	1
23478	1.87529738703	1
4598	0.1463044822	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.8131073785	1
65263	1.29435175098	1
128869	0.109509122588	1
6783	nan	1
4729	1.53455044298	1
4728	1.55839807667	1
4724	1.01935583494	1
4726	1.74984238524	1
4720	1.57047243548	1
4723	1.3386728801	1
4722	1.93848910894	1
64849	nan	1
64841	1.52131083515	1
11282	0.644109791264	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.03619812946	1
293	2.04001351568	1
64600	nan	1
51102	1.08798724624	1
291	0.90447219666	1
51109	1.61685977512	1
9536	1.75289256634	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	0.750160261508	1
175	1.32843733427	1
2053	nan	1
2052	2.26162397431	1
4538	0.358306763529	1
30061	nan	1
4535	0.912482190275	1
4536	0.387675415088	1
26035	1.2903183875	1
10400	0.658252812542	1
9334	nan	1
10402	nan	1
9331	nan	1
10157	0.891095792129	1
10390	0.399907837905	1
10396	nan	1
54965	nan	1
54963	0.249367130312	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	0.723244966112	1
5198	1.99013770234	1
10087	0.428787665604	1
1962	0.922732999188	1
115019	nan	1
2877	nan	1
2875	nan	1
54187	1.11512618326	1
2878	nan	1
54344	1.2733608213	1
11238	0.318183187705	1
79017	1.5862889937	1
23517	1.70543504519	1
1544	nan	1
1545	0.508394949873	1
1543	nan	1
11112	1.6169382886	1
1549	nan	1
8714	0.805491883732	1
83733	nan	1
549	0.927073326298	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	0.534068010637	1
6561	nan	1
6560	0.744074698863	1
6563	nan	1
410	nan	1
411	0.2105644981	1
412	0.649264236303	1
1384	1.27257088298	1
23464	nan	1
55326	0.888036721554	1
65985	1.08627785419	1
8443	1.48631210833	1
256435	nan	1
55748	1.56928959018	1
366	nan	1
383	nan	1
384	0.0406784381775	1
4758	nan	1
4759	nan	1
92745	1.00434707678	1
27159	nan	1
9962	0.267821251487	1
9963	nan	1
60481	0.999602757677	1
2194	2.47583533696	1
250	nan	1
251	nan	1
55811	nan	1
2203	0.147275212147	1
124935	nan	1
57678	nan	1
201562	1.02122079268	1
63917	nan	1
57419	nan	1
94005	1.32847673083	1
79837	0.841461182423	1
7841	1.85816967665	1
4831	2.81837441623	1
4830	0.929162371827	1
4524	nan	1
84105	1.20373350654	1
4837	0.833631166231	1
7991	0.64326224077	1
2519	0.984641005154	1
2517	0.588861928534	1
9615	1.54002878635	1
2730	1.60101830798	1
2731	nan	1
5298	nan	1
9348	nan	1
10166	1.27108760124	1
10165	1.93062862588	1
5295	0.106668162197	1
5293	0.0956863095	1
5290	0.788527367635	1
5291	0.565001748263	1
9187	nan	1
57094	nan	1
5050	1.54453146086	1
83852	nan	1
5052	2.92368973613	1
5053	nan	1
84076	nan	1
1811	nan	1
10768	1.49776795593	1
54407	1.11465075267	1
54995	0.887978431736	1
4952	0.622488852271	1
4953	nan	1
1609	nan	1
9296	2.01756914259	1
1603	2.07222120635	1
1607	nan	1
1606	0.576929834806	1
8854	0.601088161538	1
5476	1.58648500774	1
5471	1.21692820086	1
347734	1.17298945046	1
5277	0.507007789145	1
5279	nan	1
7054	nan	1
2998	nan	1
1158	nan	1
8639	nan	1
8140	1.59017798067	1
1152	1.05411191362	1
1555	nan	1
1551	nan	1
1553	nan	1
29124	nan	1
3038	nan	1
1557	nan	1
55	nan	1
54	nan	1
2992	nan	1
3037	nan	1
3030	2.01789114517	1
50	3.89028425496	1
3032	1.6300723863	1
52	1.87744413995	1
8703	0.357608529747	1
3034	nan	1
535	nan	1
534	nan	1
533	nan	1
5805	0.711283304893	1
8705	nan	1
8704	nan	1
3036	0.155292025221	1
8034	nan	1
