gene	mean	var
55349	0.563874115	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	0	1
55907	0.1785377442	1
10965	nan	1
4731	nan	1
81539	0.4713502377	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.3396555978	1
51604	0.9660433661	1
290	nan	1
51606	1.1638570153	1
586	nan	1
4832	0.1380868257	1
587	1.3891519595	1
56052	nan	1
4522	3.0133880911	1
270	nan	1
271	nan	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	2.337642365	1
53354	nan	1
10380	1.188824596	1
8942	nan	1
7264	1.0809179633	1
84693	nan	1
7263	1.8574147644	1
5296	0	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	0.2660017554	1
10164	nan	1
2739	2.4710233128	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.1666699022	1
1622	2.5870535885	1
1621	nan	1
10090	nan	1
5184	1.4338266939	1
1629	0.1323085759	1
8836	1.2579409402	1
8833	2.1116641284	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	nan	1
4258	nan	1
23057	nan	1
4257	1.0053769318	1
1178	nan	1
5538	1.6368558716	1
29925	0.6113772159	1
11164	1.9414431547	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	1.128776699	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.9144147887	1
8540	1.7882144511	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.7568856638	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.63587593	1
8509	nan	1
1373	nan	1
1374	nan	1
1376	1.5535959355	1
28965	nan	1
2744	2.5932293901	1
23475	1.5552568783	1
2747	nan	1
2746	2.0636673885	1
23478	1.7469514229	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.7715246787	1
65263	1.2621935517	1
128869	0	1
6783	nan	1
4729	1.0638987072	1
4728	0.8350540563	1
4724	nan	1
4726	nan	1
4720	nan	1
4723	0.9124163165	1
4722	1.4601459594	1
64849	nan	1
64841	1.7515515235	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.2409716987	1
293	3.2840547003	1
64600	nan	1
51102	nan	1
291	1.1734362786	1
51109	1.5916513675	1
9536	nan	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	0.2796211012	1
175	nan	1
2053	nan	1
2052	1.775111733	1
4538	nan	1
30061	nan	1
4535	0	1
4536	nan	1
26035	nan	1
10400	nan	1
9334	0.7387583405	1
10402	nan	1
9331	nan	1
53343	nan	1
10390	0.0327440699	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	nan	1
5198	2.3081381803	1
10087	0.2022592158	1
1962	0.2338288623	1
115019	nan	1
2877	nan	1
2875	nan	1
54187	1.4111837536	1
2878	nan	1
54344	nan	1
11238	nan	1
79017	1.8791720725	1
23517	1.7050373301	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	1.5996757303	1
1549	nan	1
8714	nan	1
83733	nan	1
549	0.5996757303	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	0.9554373771	1
6561	nan	1
6560	nan	1
6563	nan	1
410	nan	1
411	nan	1
412	nan	1
1384	1.4858128128	1
23464	nan	1
55326	0.67286055	1
65985	0.4515751936	1
8443	0.2694568453	1
256435	nan	1
55748	1.9082353176	1
366	nan	1
383	nan	1
384	nan	1
4758	nan	1
4759	nan	1
92745	nan	1
27159	nan	1
9962	nan	1
9963	nan	1
60481	nan	1
2194	3.372683258	1
250	nan	1
251	nan	1
55811	nan	1
2203	nan	1
124935	nan	1
57678	nan	1
201562	0.3180183942	1
63917	nan	1
57419	nan	1
94005	0.9916142546	1
79837	0.3637579931	1
7841	2.0571921231	1
4831	3.3988841194	1
4830	nan	1
4524	nan	1
84105	nan	1
4837	nan	1
7991	nan	1
2519	0.9708450788	1
2517	0	1
9615	nan	1
2730	1.0460245773	1
2731	nan	1
5298	nan	1
9348	nan	1
10166	nan	1
10165	1.9000036277	1
5295	nan	1
5293	nan	1
5290	nan	1
5291	nan	1
9187	nan	1
57094	nan	1
5050	2.2542683249	1
83852	nan	1
5052	3.5549251976	1
5053	nan	1
84076	nan	1
1811	nan	1
10768	0.7086621966	1
54407	1.405253139	1
54995	nan	1
4953	nan	1
1609	nan	1
9296	nan	1
1603	1.5769018252	1
1607	nan	1
1606	nan	1
8854	nan	1
5476	nan	1
5471	0.8923954236	1
347734	nan	1
5277	nan	1
5279	nan	1
7054	nan	1
2998	nan	1
1158	nan	1
8639	nan	1
8140	1.4993145388	1
1555	nan	1
