gene	mean	var
55349	nan	1
55343	0	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	1.1600899439	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	1.0232973564	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.7105213243	1
51604	0.9630070071	1
290	1.8149801772	1
51606	0	1
586	1.0512608318	1
4832	nan	1
587	0.782099847	1
56052	0.3799730315	1
4522	2.7711845052	1
270	nan	1
271	0	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	1.3682754269	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	2.4544335258	1
10632	2.0770027187	1
53354	nan	1
10380	1.4408947371	1
8942	nan	1
7264	nan	1
84693	nan	1
7263	1.3582482131	1
5296	0	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.3246234908	1
98	nan	1
10560	0.5377723911	1
10568	nan	1
95	nan	1
97	1.1619544998	1
1622	2.7121848742	1
1621	nan	1
10090	nan	1
5184	1.876025176	1
1629	nan	1
8836	1.4271986449	1
8833	2.3177678432	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.3507803286	1
4258	2.0022194856	1
23057	nan	1
4257	2.1215243426	1
1178	nan	1
5538	1.0889049742	1
513	1.7294236285	1
11164	1.9186267634	1
50700	nan	1
1579	nan	1
8760	1.03714559	1
1573	nan	1
1572	nan	1
79717	0.9434737828	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.4450008734	1
8540	1.7770807607	1
6572	nan	1
6573	1.5937804526	1
6570	nan	1
6571	nan	1
6576	1.6635462942	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.2541854364	1
8509	nan	1
1373	nan	1
1374	2.1320890162	1
1376	nan	1
28965	nan	1
2744	0.3622093595	1
23475	nan	1
2747	nan	1
2746	2.3972473479	1
23478	1.6709755127	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.867819665	1
65263	nan	1
128869	0.9602348101	1
6783	nan	1
4729	nan	1
4728	0.873632527	1
4724	nan	1
4726	nan	1
4720	1.0212683191	1
4723	0.2918392697	1
4722	1.5148949313	1
64849	nan	1
64841	0.4854479309	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.1532780538	1
293	3.3245529999	1
64600	nan	1
51102	nan	1
291	nan	1
51109	0.3515759829	1
9536	nan	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	nan	1
175	nan	1
2053	nan	1
2052	nan	1
4538	0.9779182295	1
30061	nan	1
4535	1.0430019142	1
4536	0.8795847039	1
26035	nan	1
10400	nan	1
9334	0.3772966113	1
10402	nan	1
9331	nan	1
53343	nan	1
10390	1.3396896401	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	nan	1
5198	1.7726315466	1
10087	nan	1
1962	nan	1
115019	nan	1
2877	nan	1
2875	nan	1
54187	1.5358914364	1
2878	nan	1
54344	nan	1
11238	nan	1
79017	1.7559467893	1
23517	1.4153790352	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	1.4851070978	1
1549	nan	1
8714	nan	1
83733	nan	1
549	nan	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	3.5023071189	1
6561	nan	1
6560	nan	1
6563	nan	1
410	nan	1
411	nan	1
412	nan	1
1384	nan	1
23464	nan	1
55326	0.7449611118	1
65985	nan	1
8443	0.4869056225	1
256435	nan	1
55748	2.1874927882	1
366	nan	1
383	nan	1
384	nan	1
4758	nan	1
4759	nan	1
92745	1.2795429134	1
27159	nan	1
9962	nan	1
9963	nan	1
60481	1.7018849176	1
2194	3.8073588643	1
250	nan	1
251	nan	1
55811	nan	1
2203	0.7576535091	1
124935	nan	1
57678	nan	1
201562	0.617453134	1
63917	nan	1
57419	nan	1
94005	1.1546093897	1
79837	nan	1
7841	1.9860938274	1
4831	3.2559640629	1
4830	nan	1
4524	nan	1
84105	nan	1
4837	nan	1
7991	nan	1
2519	0.3022042473	1
2517	0.8020735519	1
9615	nan	1
2730	nan	1
2731	nan	1
5298	nan	1
9348	nan	1
10166	nan	1
10165	0.4674361696	1
5295	nan	1
5293	0.5699863517	1
5290	nan	1
5291	nan	1
9187	nan	1
57094	nan	1
5050	1.9937108188	1
83852	nan	1
5052	3.0629662546	1
5053	nan	1
84076	nan	1
1811	nan	1
10768	1.5915370143	1
54407	0.5123862653	1
54995	nan	1
4952	0.1102345977	1
4953	nan	1
1609	nan	1
9296	1.4622816539	1
1603	2.3113476268	1
1607	nan	1
1606	nan	1
8854	nan	1
5476	0.1807619729	1
5471	nan	1
347734	1.8134620027	1
5277	0.8033277736	1
5279	nan	1
7054	nan	1
2998	nan	1
1158	nan	1
8639	nan	1
8140	1.5489322416	1
1555	nan	1
1551	nan	1
1553	nan	1
29124	nan	1
3038	nan	1
1557	nan	1
55	nan	1
54	nan	1
2992	1.2552204078	1
3037	nan	1
3030	2.4791975709	1
50	2.3185905402	1
3032	2.161487828	1
52	1.8858050343	1
8703	nan	1
3034	nan	1
535	nan	1
534	nan	1
533	nan	1
5805	nan	1
8705	nan	1
8704	nan	1
3036	nan	1
8034	nan	1
51	0.9276955266	1
132789	nan	1
5137	nan	1
8529	nan	1
8528	nan	1
53	nan	1
3295	2.3767968477	1
9990	0	1
2997	nan	1
8527	nan	1
8526	nan	1
8525	nan	1
6518	0.3949754278	1
6519	nan	1
28231	nan	1
28232	nan	1
6510	1.8487199211	1
6511	nan	1
6512	nan	1
6513	2.7744062029	1
6514	nan	1
6515	1.5572622881	1
6517	nan	1
3292	nan	1
3620	nan	1
3293	nan	1
427	nan	1
8706	nan	1
23498	nan	1
51056	2.1609076356	1
27010	nan	1
23382	nan	1
50506	nan	1
55790	nan	1
10998	nan	1
10999	0.9294587606	1
84812	nan	1
10993	nan	1
55315	nan	1
55312	0.581724755	1
27124	nan	1
60490	nan	1
64132	nan	1
64131	nan	1
124637	nan	1
2182	2.2398593292	1
2181	2.2605220102	1
2180	0.6825669938	1
229	nan	1
2184	1.6521917572	1
226	3.5429620275	1
225	nan	1
224	0.6490139988	1
223	1.1109095997	1
222	nan	1
220	nan	1
27235	nan	1
27232	nan	1
6697	0.76571794	1
9856	nan	1
159	1.8877464177	1
93979	nan	1
80162	nan	1
6342	2.2596633568	1
4513	1.8942601679	1
80168	nan	1
6185	2.8629392734	1
6184	3.0927448937	1
9420	nan	1
200576	nan	1
5289	nan	1
2720	1.4070350122	1
5281	nan	1
113189	nan	1
