gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.0360716444	1
51604	0.4818803087	1
290	0.7966518138	1
51606	1.2764037997	1
586	3.0678609912	1
4832	nan	1
587	1.1274302374	1
56052	0.8551144924	1
4522	2.1988592935	1
270	nan	1
271	nan	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	0.533588634	1
10632	2.3172304608	1
53354	nan	1
10380	0	1
8942	1.6175429107	1
7264	0.776670245	1
84693	nan	1
7263	0.1700637525	1
5296	nan	1
2686	nan	1
2687	0.6131581565	1
5294	nan	1
2683	0.4636656535	1
10164	nan	1
2739	1.9383750102	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.8991220588	1
1622	1.8652391792	1
1621	nan	1
10090	nan	1
5184	1.5341110936	1
1629	nan	1
8836	2.1636936853	1
8833	2.3558278279	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.455503828	1
4258	nan	1
23057	nan	1
4257	1.4807747642	1
1178	nan	1
5538	1.6884622761	1
29925	0.838370704	1
11164	1.4433952477	1
50700	nan	1
1579	nan	1
8760	1.0407853971	1
1573	nan	1
1572	nan	1
79717	nan	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.0404871971	1
51478	1.0948137519	1
8540	2.5836312649	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.6455435811	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.609826586	1
8509	nan	1
1373	nan	1
1374	0.6546052452	1
1376	1.7429750873	1
28965	nan	1
2744	4.3272059466	1
23475	nan	1
2747	nan	1
2746	2.5615315815	1
23478	2.3592581628	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.1484247285	1
128869	0.815924927	1
6783	nan	1
4729	1.4589060028	1
4728	1.3384282949	1
4724	nan	1
4726	1.7014707544	1
4720	1.400218723	1
4723	0.9487814245	1
4722	2.197690149	1
64849	nan	1
64841	1.6919402348	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.0244173898	1
