gene	mean	var
55349	0.976977587	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	0	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	0.4192791856	1
10965	nan	1
4731	0	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.6899236771	1
51604	0.8774781466	1
290	0.2161239851	1
51606	0.8838646571	1
586	nan	1
4832	1.1366440216	1
587	0.9181777502	1
56052	0.6668122259	1
4522	2.6714990746	1
270	nan	1
271	nan	1
275	nan	1
80201	0.8284100861	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	1.195802516	1
9415	nan	1
10632	2.1702096181	1
53354	nan	1
10380	1.349550832	1
8942	nan	1
7264	1.2816490605	1
84693	nan	1
7263	1.9835815322	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	0.3720201888	1
10164	nan	1
2739	2.2392591788	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.0777437986	1
1622	2.3884527347	1
1621	nan	1
10090	nan	1
5184	1.2696968754	1
1629	nan	1
8836	0.5579424352	1
8833	2.2743907065	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	0.4698645218	1
4258	1.3508798652	1
23057	nan	1
4257	2.1580673981	1
1178	nan	1
5538	1.5902197835	1
29925	nan	1
11164	1.7985376042	1
50700	nan	1
1579	nan	1
8760	0.4723546194	1
1573	nan	1
1572	nan	1
79717	1.2220198826	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.5036534154	1
8540	1.9429479204	1
6572	nan	1
6573	0.106581827	1
6570	nan	1
6571	nan	1
6576	1.9646005126	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.2416121567	1
8509	nan	1
1373	nan	1
1374	1.536757255	1
1376	1.8235439284	1
28965	nan	1
2744	1.0486938408	1
23475	0.2572006653	1
2747	nan	1
2746	2.3056418062	1
23478	1.7729831411	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.122333671	1
128869	1.025646801	1
6783	nan	1
4729	1.166700322	1
4728	1.0625347199	1
4724	0.3254684904	1
4726	0.6082703998	1
4720	1.1124862804	1
4723	0.8105823368	1
4722	1.5396881936	1
64849	nan	1
64841	1.6396801437	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	0.2036629878	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.0826071556	1
293	3.2315292973	1
64600	nan	1
51102	0.1342632452	1
291	nan	1
51109	1.5902771375	1
9536	nan	1
125061	nan	1
9245	0	1
122970	nan	1
56913	nan	1
178	nan	1
175	0.4839120708	1
2053	nan	1
2052	1.8965421212	1
4538	0.3040927287	1
30061	nan	1
4535	0.4451611099	1
4536	0.5501710142	1
26035	nan	1
10400	nan	1
9334	0.4585954598	1
10402	nan	1
9331	nan	1
53343	nan	1
10390	0.7432171165	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	0.349118019	1
5198	1.7309196687	1
10087	0.4167495009	1
1962	nan	1
115019	nan	1
2877	0.8609655063	1
2875	nan	1
54187	1.5985893379	1
2878	nan	1
54344	1.3602982339	1
11238	nan	1
79017	1.9757516979	1
23517	1.5679182311	1
1544	nan	1
1545	nan	1
1543	nan	1
