gene	mean	var
55349	1.3746664132	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	1.0124996011	1
55907	0.7694796293	1
10965	nan	1
4731	0.5662444918	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.6005540937	1
51604	0.9650443579	1
290	nan	1
51606	0.7059170924	1
586	nan	1
4832	nan	1
587	0.8035033099	1
56052	0.7244133148	1
4522	2.8109505292	1
270	nan	1
271	0.4342376074	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	0.2986270267	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	1.1514125519	1
9415	nan	1
10632	1.9022090743	1
53354	nan	1
10380	1.1279127838	1
8942	nan	1
7264	0.9690106917	1
84693	nan	1
7263	1.8363577229	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.0341978631	1
98	0	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.0991176519	1
1622	2.4812910352	1
1621	nan	1
10090	nan	1
5184	1.6478435282	1
1629	nan	1
8836	1.9368887139	1
8833	2.2644662876	1
3340	nan	1
5051	nan	1
1757	0	1
4259	1.0591058912	1
4258	1.0228174651	1
23057	nan	1
4257	1.1104654857	1
1178	nan	1
5538	1.6681724729	1
29925	nan	1
11164	2.028395089	1
50700	nan	1
1579	nan	1
8760	0.779622278	1
1573	nan	1
1572	nan	1
79717	0.6411789457	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.7224859588	1
51478	nan	1
8540	1.9018547156	1
6572	nan	1
6573	0.1813848776	1
6570	nan	1
6571	nan	1
6576	1.5553190403	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.3888176881	1
8509	nan	1
1373	nan	1
1374	2.0772208147	1
1376	1.518788757	1
28965	nan	1
2744	2.9103917737	1
23475	1.4284213842	1
2747	nan	1
2746	2.2140740961	1
23478	1.5448975694	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.519486853	1
65263	0.8433840588	1
128869	0.2367639684	1
6783	nan	1
4729	1.1816984441	1
4728	1.0649573445	1
4724	0.2513994888	1
4726	1.1610463362	1
4720	1.0886926691	1
4723	0.9182496235	1
4722	1.7219216101	1
64849	nan	1
64841	1.5947843394	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	1.9660996933	1
293	3.3499167217	1
64600	nan	1
51102	0.2706157639	1
291	1.167611929	1
51109	1.5303967246	1
9536	nan	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	1.2041609119	1
175	nan	1
2053	0.3432830737	1
2052	1.5685618092	1
4538	nan	1
30061	nan	1
4535	0.2420386045	1
4536	0.1442379058	1
26035	nan	1
10400	nan	1
9334	nan	1
10402	nan	1
9331	nan	1
53343	0.4622817327	1
10390	0.0110292442	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	0.4651726907	1
5198	2.5441754089	1
10087	0.6215281934	1
1962	0.4117896856	1
115019	nan	1
2877	0.9971403085	1
2875	nan	1
54187	1.4500993447	1
2878	nan	1
54344	nan	1
11238	nan	1
79017	1.6376450927	1
23517	1.748109347	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	1.4079959378	1
1549	nan	1
8714	nan	1
83733	nan	1
549	0.0961517529	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	2.0640398933	1
6561	nan	1
6560	0.1977137516	1
6563	nan	1
410	nan	1
411	nan	1
412	nan	1
1384	1.1108288855	1
23464	nan	1
55326	0.632888109	1
65985	1.2413560868	1
8443	0.3778893345	1
256435	nan	1
55748	1.4664966051	1
366	nan	1
383	0	1
384	0.2728052544	1
4758	0.5813541549	1
