gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	0.585529442	1
55907	0	1
10965	1.0306062346	1
4731	0.4117031756	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.8795061377	1
51604	1.0969740097	1
290	nan	1
51606	1.6405493977	1
586	nan	1
4832	0.5040266409	1
587	0.9275724472	1
56052	1.2762462469	1
4522	2.936213093	1
270	nan	1
271	0.4152932374	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	0.8675067764	1
10632	2.0543449669	1
53354	nan	1
10380	1.405194593	1
8942	nan	1
7264	0.9202036069	1
84693	0.4557905341	1
7263	1.6081786856	1
5296	nan	1
2686	0.4062764191	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.2573652799	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.9504612563	1
1622	2.638039166	1
1621	nan	1
10090	nan	1
5184	2.124635368	1
1629	nan	1
8836	1.624064667	1
8833	2.0676341016	1
3340	nan	1
5051	nan	1
1757	1.7136262777	1
4259	1.3299475966	1
4258	0.8423474922	1
23057	nan	1
4257	nan	1
1178	nan	1
5538	2.0119931436	1
29925	0.5794571998	1
11164	1.3861648015	1
50700	nan	1
1579	nan	1
8760	1.4359592112	1
1573	nan	1
1572	nan	1
79717	0.889256808	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.601840396	1
51478	1.1738503985	1
8540	1.886356458	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	2.02879922	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	2.0525353628	1
8509	nan	1
1373	1.2912688053	1
1374	1.0277951672	1
1376	1.7334566682	1
28965	nan	1
2744	3.016067433	1
23475	nan	1
2747	nan	1
2746	2.2878685496	1
23478	1.8561936144	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	0	1
51292	0.4039926567	1
65263	0.8289400637	1
128869	0.8004270249	1
6783	nan	1
4729	0.8777247675	1
4728	1.1801037648	1
4724	nan	1
4726	0.7832046415	1
4720	1.290888079	1
4723	0.7540760398	1
4722	1.705007974	1
64849	nan	1
64841	1.0207223266	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
