gene	mean	var
55349	1.3262088658	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	0.735386062879	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	0.936267705739	1
55907	0.692709961247	1
10965	nan	1
4731	1.93698751196	1
81539	0.946169491252	1
81537	0.263256710626	1
154091	nan	1
55586	nan	1
292	2.46723189346	1
51604	1.29089075941	1
290	0.58307767526	1
51606	1.04002738439	1
586	0.630111023408	1
4832	1.35171108292	1
587	1.22380522823	1
56052	1.02037610436	1
4522	3.23325954754	1
270	nan	1
271	1.05978693003	1
272	0.162051039772	1
275	nan	1
80201	1.35697192985	1
108	nan	1
109	nan	1
56901	nan	1
100	1.24858042454	1
107	nan	1
9435	nan	1
79813	0.300906804625	1
84129	nan	1
79814	1.42472401715	1
9415	0.0807909742568	1
10632	1.06901923167	1
53354	nan	1
10380	1.69380986542	1
8942	0.0885224301755	1
7264	1.403137551	1
84693	1.1780629627	1
7263	2.3004981102	1
5296	0.913547010174	1
2686	0.000136034818659	1
2687	nan	1
5294	nan	1
2683	0.818898573806	1
10164	nan	1
2739	2.54788087239	1
98	0.849291382608	1
10560	0.4797157191	1
10568	nan	1
95	nan	1
97	1.29997825082	1
1622	2.0191092493	1
1621	nan	1
10090	nan	1
5184	1.70495206095	1
1629	0.579238962015	1
8836	1.72078088165	1
8833	1.93589858784	1
3340	0	1
5051	0.559563402828	1
1757	nan	1
4259	1.85986021981	1
4258	1.7575013101	1
23057	nan	1
4257	2.14964992999	1
1178	nan	1
5538	1.49970956205	1
29925	1.18009351669	1
11164	1.74439081171	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	0.593381012418	1
1572	nan	1
79717	1.54322575103	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.517071691352	1
51478	1.28606391367	1
8540	1.77922612434	1
6572	nan	1
6573	0.9887979071	1
6570	nan	1
6571	nan	1
6576	1.55615687572	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.34708550657	1
8509	nan	1
1373	0.448883625328	1
1374	1.83552987638	1
1376	1.69683067257	1
28965	nan	1
2744	1.7722887223	1
23475	1.54015079167	1
2747	0.245555366954	1
2746	1.82645068362	1
23478	1.84064858032	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	0.213868894725	1
4843	nan	1
55753	nan	1
51292	1.13867416993	1
65263	1.20037042096	1
128869	0.393393366209	1
6783	nan	1
4729	1.2959598424	1
4728	1.22504954952	1
4724	0.951237630757	1
4726	1.49573380527	1
4720	1.21236645982	1
4723	1.18826604831	1
4722	1.64295460865	1
64849	nan	1
64841	1.86580937434	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	1.73040913219	1
293	1.60561735188	1
64600	nan	1
51102	0.95683084983	1
291	1.00838801104	1
51109	1.43464301442	1
9536	0.553711500719	1
125061	nan	1
9245	nan	1
122970	nan	1
