gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	0.5984392772	1
81539	0.2651942912	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.6483789919	1
51604	1.101981058	1
290	nan	1
51606	0.7727571488	1
586	1.1166556865	1
4832	0.3960231834	1
587	1.1249033855	1
56052	0.6730659836	1
4522	2.8420371098	1
270	nan	1
271	0.187149524	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	1.2431879266	1
10632	1.9372500167	1
53354	nan	1
10380	1.3675736656	1
8942	nan	1
7264	1.3711978408	1
84693	nan	1
7263	1.1064828332	1
5296	0.0051637161	1
2686	nan	1
2687	0	1
5294	nan	1
2683	0	1
10164	nan	1
2739	2.7399653741	1
98	0.6510796918	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.3182330373	1
1622	2.2213766685	1
1621	nan	1
10090	nan	1
5184	1.5773156361	1
1629	0	1
8836	0.5500451986	1
8833	2.0512542183	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.367956585	1
4258	0.3889088785	1
23057	nan	1
4257	1.7596901702	1
1178	nan	1
5538	0.9886375113	1
29925	0.6142630247	1
11164	2.0678569522	1
50700	nan	1
1579	nan	1
8760	0.5642193331	1
1573	nan	1
1572	nan	1
79717	0.9476411252	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.3875085166	1
8540	1.8630922999	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.4883100887	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.9063189571	1
8509	nan	1
1373	nan	1
1374	0.951860327	1
1376	0.4553473631	1
28965	nan	1
2744	2.5522677391	1
23475	nan	1
2747	nan	1
2746	2.4069475499	1
23478	1.7055507413	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.679682439	1
65263	0.9090304025	1
128869	0.5290121151	1
6783	nan	1
4729	0.8512848667	1
4728	1.0925885797	1
4724	nan	1
4726	1.1521681023	1
4720	1.2862161419	1
4723	0.435140251	1
4722	1.6260233761	1
64849	nan	1
64841	1.5329346744	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
