gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	0.0138857176	1
81539	0.7503763085	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.3684666197	1
51604	nan	1
290	nan	1
51606	1.3924805985	1
586	3.4353273973	1
4832	nan	1
587	0.8384246878	1
56052	nan	1
4522	2.8585397332	1
270	nan	1
271	1.0802936439	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	3.0871670891	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	1.0195927106	1
10632	nan	1
53354	nan	1
10380	1.2532310795	1
8942	nan	1
7264	0.8335390676	1
84693	nan	1
7263	nan	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.5726224417	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	nan	1
1622	nan	1
1621	nan	1
10090	nan	1
5184	1.1881061201	1
1629	nan	1
8836	nan	1
8833	2.406539159	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	0.6359963929	1
4258	nan	1
23057	nan	1
4257	nan	1
1178	nan	1
29925	1.0841855948	1
11164	1.8226604087	1
50700	nan	1
1579	nan	1
8760	0.9069648306	1
1573	nan	1
1572	nan	1
79717	nan	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	nan	1
8540	2.0176605926	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	nan	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.6715624937	1
8509	nan	1
1373	nan	1
1374	nan	1
1376	0.4280604785	1
28965	nan	1
2744	1.4039926567	1
23475	nan	1
2747	nan	1
2746	2.1202228864	1
23478	1.7938256312	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.6038090623	1
65263	nan	1
128869	0.7233451811	1
6783	nan	1
4729	1.4311876004	1
4728	1.251941445	1
4724	nan	1
4726	nan	1
4720	0.7008043063	1
4723	0.8923191413	1
4722	2.0397543822	1
64849	nan	1
64841	1.609588942	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.1670499976	1
293	3.1339572115	1
64600	nan	1
51102	nan	1
291	0.9414431547	1
51109	nan	1
9536	nan	1
