gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	1.3546783352	1
10965	nan	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.4794197101	1
51604	nan	1
290	nan	1
51606	0.3065245188	1
586	nan	1
4832	2.2312497329	1
587	1.0724791033	1
56052	nan	1
4522	1.9320772087	1
270	nan	1
271	nan	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	2.4122219771	1
53354	nan	1
10380	1.4032581328	1
8942	1.3167641909	1
7264	1.6095706563	1
84693	0.458077394	1
7263	1.4636144758	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	1.1998515371	1
10164	nan	1
2739	2.1809533537	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.6903186284	1
1622	2.4244348292	1
1621	nan	1
10090	nan	1
5184	0.8443223135	1
1629	0.4643559637	1
8836	2.0956922799	1
8833	0.0457433505	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.6524237698	1
4258	1.0502279004	1
23057	nan	1
4257	2.842903485	1
1178	nan	1
5538	2.2383144065	1
29925	0.346042645	1
11164	0	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	1.3518739778	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.7040969486	1
51478	1.0163509992	1
8540	nan	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	2.2375398793	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.344765999	1
8509	nan	1
1373	nan	1
1374	2.0200122192	1
1376	nan	1
28965	nan	1
2744	nan	1
23475	1.5405036091	1
2747	nan	1
2746	2.5991890629	1
23478	2.131539631	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.5938562987	1
65263	0.9243246446	1
128869	0.8894296386	1
6783	nan	1
4729	1.0988391611	1
4728	1.184208598	1
4724	nan	1
4726	1.279894648	1
4720	1.1829651016	1
4723	1.088109813	1
4722	1.6987839138	1
64849	nan	1
64841	1.2768367756	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.4091578527	1
293	3.1533721645	1
