gene	mean	var
55349	1.0392923451	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	0.3702153096	1
10965	nan	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.4546948185	1
51604	0.6067454298	1
290	nan	1
51606	0.3468135326	1
586	nan	1
4832	1.5603248379	1
587	1.366358855	1
56052	0.9125619705	1
4522	3.0953279363	1
270	nan	1
271	nan	1
275	nan	1
80201	1.9251035055	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	0.985178446	1
10632	1.3920583677	1
53354	nan	1
10380	0.6170219476	1
8942	nan	1
7264	1.0206868488	1
84693	nan	1
7263	2.5975190222	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	0.6834779988	1
10164	nan	1
2739	2.2096512466	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	nan	1
1622	2.3777022461	1
1621	nan	1
10090	nan	1
5184	1.5235405813	1
1629	nan	1
8836	1.4893966404	1
8833	nan	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	0.0966524425	1
4258	1.3435530734	1
23057	nan	1
4257	2.0206655607	1
1178	nan	1
5538	1.6249304117	1
29925	0.9052835575	1
11164	1.6537637009	1
50700	nan	1
1579	nan	1
8760	0.7900285493	1
1573	nan	1
1572	nan	1
79717	0.8864047951	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.7866360797	1
51478	0.7665213037	1
8540	nan	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	2.0552436727	1
6574	nan	1
6575	1.2978780493	1
6578	nan	1
6579	nan	1
1371	1.4758517755	1
8509	nan	1
1373	nan	1
1374	1.1145263015	1
1376	nan	1
28965	nan	1
2744	2.6587274737	1
23475	1.4759761546	1
2747	nan	1
2746	2.4145202929	1
23478	1.9563105961	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.6858775919	1
65263	2.3086958232	1
128869	0.9370521977	1
6783	nan	1
4729	1.4648155616	1
4728	1.1528595374	1
4724	0.2732021604	1
4726	1.5306380298	1
4720	1.0806769958	1
4723	1.2813376825	1
4722	1.8536992749	1
64849	nan	1
64841	1.4682471299	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.1227265504	1
293	3.2219082818	1
64600	nan	1
51102	0	1
291	nan	1
51109	2.0389114745	1
9536	1.1661473617	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	nan	1
175	nan	1
2053	nan	1
2052	2.0376986271	1
4538	0.832161187	1
30061	nan	1
4535	0.1444354009	1
4536	nan	1
26035	nan	1
10400	nan	1
9334	0.9975371604	1
10402	nan	1
9331	nan	1
53343	nan	1
10390	1.0670031328	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	1.0176177177	1
5198	1.7297565275	1
10087	nan	1
1962	nan	1
115019	nan	1
2877	0.638261745	1
2875	nan	1
54187	1.4397337017	1
2878	nan	1
54344	nan	1
11238	nan	1
79017	1.5705468609	1
23517	1.5526380092	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	1.7056386938	1
1549	nan	1
8714	1.4238743407	1
83733	nan	1
549	nan	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	nan	1
6561	nan	1
6560	0.6356176827	1
6563	nan	1
410	nan	1
411	nan	1
412	0.8877464177	1
1384	nan	1
23464	nan	1
55326	0.4473451049	1
65985	nan	1
8443	nan	1
256435	nan	1
55748	1.7734974628	1
366	nan	1
383	nan	1
384	nan	1
4758	0.568883241	1
4759	nan	1
92745	nan	1
27159	nan	1
9962	nan	1
9963	nan	1
60481	1.1452564443	1
2194	3.3009406821	1
250	nan	1
251	nan	1
55811	nan	1
2203	nan	1
124935	nan	1
57678	nan	1
201562	1.2240726776	1
63917	nan	1
57419	nan	1
94005	nan	1
79837	0.4579477809	1
7841	2.1924231457	1
4831	3.1088698545	1
4830	nan	1
4524	nan	1
84105	nan	1
4837	0.6650777438	1
7991	nan	1
2519	1.2506897548	1
2517	1.4708723414	1
9615	1.7870858928	1
2730	0.5935338615	1
2731	nan	1
5298	nan	1
9348	nan	1
10166	0.8033862936	1
10165	nan	1
5295	nan	1
5293	nan	1
5290	nan	1
5291	nan	1
9187	nan	1
57094	nan	1
5050	2.008197678	1
83852	nan	1
5052	3.1676776933	1
5053	nan	1
84076	nan	1
1811	nan	1
10768	nan	1
54407	1.1559314598	1
54995	nan	1
4953	nan	1
1609	nan	1
9296	nan	1
1603	1.7610340561	1
1607	nan	1
1606	nan	1
8854	nan	1
5476	1.619799177	1
5471	0.8608424883	1
347734	1.6656566745	1
5277	0.2774657892	1
5279	nan	1
7054	nan	1
2998	nan	1
1158	nan	1
8639	nan	1
8140	1.6396460198	1
1152	0.2351646736	1
1555	nan	1
1551	nan	1
1553	nan	1
29124	nan	1
3038	nan	1
1557	nan	1
55	nan	1
54	nan	1
2992	nan	1
3037	nan	1
3030	1.2499370054	1
50	2.9129077029	1
3032	2.2728052544	1
52	1.8318105519	1
8703	nan	1
3034	nan	1
535	nan	1
534	nan	1
533	nan	1
5805	nan	1
8705	nan	1
8704	nan	1
3036	nan	1
8034	nan	1
51	0.8840007661	1
132789	nan	1
5137	nan	1
8529	nan	1
8528	nan	1
53	0.6101554171	1
3295	2.1866074846	1
9990	nan	1
2997	nan	1
8527	nan	1
8526	0.0922396763	1
8525	nan	1
6518	nan	1
6519	nan	1
28231	nan	1
28232	nan	1
6510	1.5632235474	1
6511	nan	1
6512	nan	1
6513	2.280207062	1
6514	nan	1
6515	1.2780546632	1
6517	nan	1
3292	nan	1
3620	nan	1
3293	nan	1
427	0.9969972802	1
8706	nan	1
23498	nan	1
51056	2.0624444943	1
27010	nan	1
23382	nan	1
50506	nan	1
55790	nan	1
10998	nan	1
10999	0.2284397487	1
84812	0.5122490114	1
10993	nan	1
55315	nan	1
55312	nan	1
27124	nan	1
60490	0	1
64132	nan	1
64131	nan	1
124637	nan	1
2182	nan	1
2181	2.1739102386	1
2180	nan	1
229	nan	1
2184	1.0724287153	1
226	3.1824960377	1
225	nan	1
224	1.8768758032	1
223	1.5104607509	1
222	nan	1
221	1.2783684031	1
220	2.8540743404	1
27235	nan	1
27232	nan	1
6697	1.9929324115	1
9856	nan	1
159	0.9857094483	1
93979	nan	1
80162	nan	1
6342	2.195608083	1
4513	2.6648362947	1
80168	nan	1
6185	2.474306508	1
6184	2.3601034102	1
9420	0.7390434487	1
200576	nan	1
5289	nan	1
2720	1.4782583951	1
5281	nan	1
113189	nan	1
5283	nan	1
5287	nan	1
5286	nan	1
7941	nan	1
5049	1.8529377298	1
5048	0.5765468161	1
84679	nan	1
1806	nan	1
84002	nan	1
1800	nan	1
1809	nan	1
1808	nan	1
9514	nan	1
9517	1.6949250883	1
113452	nan	1
113451	nan	1
159963	nan	1
246213	nan	1
8867	nan	1
7306	nan	1
3251	1.6733976327	1
8869	nan	1
84532	nan	1
1491	nan	1
5464	2.0291890589	1
10201	0.1382600736	1
10195	0.5966910058	1
2632	nan	1
8608	nan	1
1120	nan	1
8604	nan	1
11136	nan	1
171425	0.1759101319	1
3029	1.0684040428	1
3028	2.3961726566	1
2983	nan	1
2982	nan	1
2987	1.1181923988	1
2986	nan	1
2984	nan	1
525	nan	1
526	1.1549480981	1
527	nan	1
521	nan	1
522	1.0942929684	1
523	nan	1
83715	nan	1
528	0.6240469808	1
8733	0.9311363851	1
4199	nan	1
4190	2.507394452	1
4191	3.0840874935	1
197258	0.2030152981	1
197257	nan	1
195814	nan	1
4351	0.6521917572	1
8288	nan	1
4353	nan	1
6509	nan	1
11000	nan	1
