gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	1.07182991	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.3996557239	1
51604	1.274825693	1
290	nan	1
51606	nan	1
586	nan	1
4832	1.309636442	1
587	1.253853724	1
56052	nan	1
4522	2.8641212773	1
270	nan	1
271	0.5332617773	1
272	0	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	1.5051909076	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	0.8348363975	1
9415	1.5587243178	1
10632	2.3324815523	1
53354	nan	1
10380	1.8319639896	1
8942	nan	1
7264	1.6607597493	1
84693	0.1197712549	1
7263	0.4299173289	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.1837944947	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.1508082154	1
1622	2.294340449	1
1621	nan	1
10090	nan	1
5184	1.6506141031	1
1629	nan	1
8836	1.3800660979	1
8833	2.5312078551	1
3340	nan	1
5051	nan	1
1757	1.4902879953	1
4259	nan	1
4258	nan	1
23057	nan	1
4257	1.6932392072	1
1178	nan	1
5538	1.0757606014	1
29925	1.5779847808	1
11164	2.2129908286	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	0.7331541102	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.016981242	1
51478	nan	1
8540	1.7423559548	1
6572	nan	1
6573	0.6122685991	1
6570	nan	1
6571	nan	1
6576	0.8208879589	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.5566430468	1
8509	nan	1
1373	nan	1
1374	2.0921433777	1
1376	1.6017659317	1
28965	nan	1
2744	1.8200891165	1
23475	1.266807721	1
2747	nan	1
2746	2.0984477873	1
23478	1.9717434906	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.4282270876	1
128869	0.320587136	1
6783	nan	1
4729	1.2846733535	1
4728	0.5510925499	1
4724	nan	1
4726	0.971719663	1
4720	nan	1
4723	nan	1
4722	1.4517593226	1
64849	nan	1
64841	1.2075428157	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	1.1397083176	1
