gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.2188796729	1
51604	0.0915048599	1
290	nan	1
51606	1.2605628562	1
586	2.1496903687	1
4832	0.6004607352	1
587	nan	1
56052	nan	1
4522	2.36321015	1
270	nan	1
271	1.1589508406	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	1.6523409224	1
10632	1.7671578379	1
53354	nan	1
10380	0.9323381873	1
8942	nan	1
7264	nan	1
84693	nan	1
7263	1.5507576722	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	0.4078504796	1
10164	nan	1
2739	1.9498602721	1
98	0	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.4428318734	1
1622	2.854438677	1
1621	nan	1
10090	nan	1
5184	1.3676055884	1
1629	nan	1
8836	1.4654530863	1
8833	2.1461290988	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.1331364146	1
4258	nan	1
23057	nan	1
4257	1.2614197347	1
1178	nan	1
5538	1.6849101209	1
29925	0.8874089893	1
11164	1.7714239143	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	0.0772768788	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	nan	1
8540	1.7906556721	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.6052335562	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.3484513095	1
8509	nan	1
1373	0.7583940386	1
1374	0.7269326749	1
1376	1.0938974742	1
28965	nan	1
2744	3.4753846787	1
23475	0.6945042312	1
2747	nan	1
2746	1.9334152382	1
23478	1.6253714541	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	0.7557248141	1
128869	0.5137336241	1
6783	nan	1
4729	1.3618860312	1
4728	1.3211559101	1
4724	0.4337444645	1
4726	1.1935970056	1
4720	1.0804668125	1
4723	0.9710042252	1
4722	1.7519205973	1
64849	nan	1
64841	1.3776710569	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	1.8770338757	1
