gene	mean	var
55349	0.906744818769	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	0.0333133555917	1
51268	nan	1
343	nan	1
3992	0.247935651396	1
3990	nan	1
55902	0.746031515636	1
55907	0.9595030566	1
10965	nan	1
4731	2.60625132726	1
81539	1.29389871909	1
81537	0.617891709455	1
154091	nan	1
55586	nan	1
292	2.63368890962	1
51604	1.27524316252	1
290	0.366203433019	1
51606	0.760456323513	1
586	nan	1
4832	1.38897384096	1
587	1.60089598203	1
56052	1.10483613222	1
4522	2.39073656278	1
270	nan	1
271	1.06033557852	1
275	nan	1
80201	0.300471752602	1
108	nan	1
109	nan	1
56901	nan	1
100	0.457721058202	1
107	nan	1
9435	0.492603084495	1
79813	0.863757256656	1
84129	nan	1
79814	0.747662434497	1
9415	0.7229650793	1
10632	2.08969543749	1
53354	nan	1
10380	1.1074660352	1
8942	1.5992909464	1
7264	1.20492768159	1
84693	1.10702994264	1
7263	1.58111160284	1
5296	1.09858334211	1
2686	0.528454516737	1
2687	nan	1
5294	nan	1
2683	0.792070731505	1
10164	nan	1
2739	2.02020417978	1
98	0.60534083853	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.12361853038	1
1622	2.1804000243	1
1621	nan	1
10090	nan	1
5184	1.15566569057	1
1629	0.668454157167	1
8836	1.63528035893	1
8833	2.00811575476	1
3340	0.706136907526	1
5051	0.240204725977	1
1757	nan	1
4259	1.31820309012	1
4258	1.42482591867	1
23057	nan	1
4257	1.86268026161	1
1178	nan	1
5538	1.72824248463	1
29925	0.868739793171	1
11164	1.70663214805	1
50700	nan	1
1579	nan	1
8760	0.3939251383	1
1573	0.792775807372	1
1572	nan	1
79717	1.35679422397	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.41169030282	1
51478	1.03952285142	1
8540	0.414847585997	1
6572	nan	1
6573	0.903426843668	1
6570	nan	1
6571	nan	1
6576	1.88874627482	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.15537082498	1
8509	nan	1
1373	0.451679576237	1
1375	0.356277889003	1
1374	1.94267768064	1
1376	1.67676879749	1
28965	nan	1
2744	2.07343823401	1
23475	0.375945934513	1
2747	0.41595655045	1
2746	1.9284861671	1
23478	1.93222462676	1
4598	0.816534104935	1
253430	nan	1
196743	nan	1
4842	0.144416271479	1
4843	nan	1
55753	0.092192713552	1
51292	0.698779693385	1
65263	1.76610838158	1
128869	0.541121565945	1
6783	nan	1
4729	1.61654087329	1
4728	1.51070788905	1
4724	1.11729646925	1
4726	1.78984353793	1
4720	1.5306770042	1
4723	1.56157096895	1
4722	1.84808299082	1
64849	nan	1
64841	1.82772310878	1
11282	0.683476632546	1
11285	0.331743261163	1
247	nan	1
117247	nan	1
240	0.9112767105	1
242	nan	1
117248	nan	1
