gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	0.5981577735	1
81539	0.7462578534	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.7403308906	1
51604	0.8724961256	1
290	1.6958405461	1
51606	0.8578692311	1
586	nan	1
4832	1.048707146	1
587	nan	1
56052	0.9812489224	1
4522	3.5251091365	1
270	nan	1
271	0.7749743158	1
272	0	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	0.5694451747	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	0.9510780691	1
10632	2.0329165746	1
53354	nan	1
10380	1.0232761959	1
8942	nan	1
7264	1.3224329347	1
84693	nan	1
7263	1.2704560968	1
5296	0.094933384	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.3746664132	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.5768623941	1
1622	2.3981111416	1
1621	nan	1
10090	nan	1
5184	1.2780154297	1
1629	0.2935083221	1
8836	1.4628973531	1
8833	2.003933847	1
3340	0	1
5051	nan	1
1757	nan	1
4259	0.2952086985	1
4258	0.9678101644	1
23057	nan	1
4257	1.7965091571	1
1178	nan	1
5538	1.7404932437	1
29925	nan	1
11164	1.1132151407	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	0.7849786977	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.5282850779	1
51478	0.4876568504	1
8540	2.149359644	1
6572	nan	1
6573	0.5034666823	1
6570	nan	1
6571	nan	1
6576	1.4619992815	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	0.7425579428	1
8509	nan	1
1373	nan	1
1374	1.8476537528	1
1376	1.6439415455	1
28965	nan	1
2744	3.3091897401	1
23475	nan	1
2747	nan	1
2746	2.2286639869	1
23478	1.3112022562	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.2362459232	1
128869	0.429419253	1
6783	nan	1
4729	1.3929325335	1
4728	0.8586427956	1
4724	nan	1
4726	0.5540741076	1
4720	nan	1
4723	0.633528853	1
4722	1.6878213635	1
64849	nan	1
64841	1.7520259894	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
