gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	0.1435272482	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	0.0948376809	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.0242062837	1
51604	nan	1
290	nan	1
51606	0.8573217467	1
586	0.796449703	1
4832	nan	1
587	0.562918258	1
56052	nan	1
4522	2.9258843063	1
270	nan	1
271	0.7026677897	1
275	nan	1
80201	0	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	nan	1
53354	nan	1
10380	1.4717020356	1
8942	nan	1
7264	1.2909261666	1
84693	nan	1
7263	0.4340458962	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.1456770273	1
98	nan	1
10560	0.5626535002	1
10568	nan	1
95	nan	1
97	nan	1
1622	nan	1
1621	nan	1
10090	nan	1
5184	1.3701201078	1
1629	nan	1
8836	1.4008401372	1
8833	2.219867635	1
3340	nan	1
5051	nan	1
1757	1.3061201649	1
4259	nan	1
4258	nan	1
23057	nan	1
4257	nan	1
1178	nan	1
5538	1.2056651726	1
29925	nan	1
11164	1.8019326653	1
50700	nan	1
1579	nan	1
8760	0.6565297074	1
1573	nan	1
1572	nan	1
79717	0.5422366386	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.5064448197	1
8540	1.8117319033	1
6572	nan	1
6573	0.7689478556	1
6570	nan	1
6571	nan	1
6576	0.4710484696	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	nan	1
8509	nan	1
1373	nan	1
1374	1.556539754	1
1376	1.0843939865	1
28965	nan	1
2744	3.1217851534	1
23475	nan	1
2747	nan	1
2746	2.3903956184	1
23478	0.7382827438	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.2925228393	1
65263	nan	1
128869	nan	1
6783	nan	1
4729	1.2564591265	1
4728	0.6197634547	1
4724	nan	1
4726	nan	1
4720	1.0490928191	1
4723	0.6384671014	1
4722	1.6531025232	1
64849	nan	1
64841	nan	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.0236216883	1
293	2.5875732753	1
64600	nan	1
51102	nan	1
291	0.8724162664	1
