gene	mean	var
55349	1.3451359405	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	0.9035864585	1
55907	0.8120761807	1
10965	nan	1
4731	0.8194805609	1
81539	0.3642408108	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.6629807118	1
51604	0.9360617486	1
290	nan	1
51606	1.0819298019	1
586	nan	1
4832	nan	1
587	0.2553857746	1
56052	0.6735554719	1
4522	2.596596813	1
270	nan	1
271	nan	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	1.3862565506	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	1.1566636314	1
9415	nan	1
10632	1.679915776	1
53354	nan	1
10380	1.4727807793	1
8942	nan	1
7264	1.2173935029	1
84693	nan	1
7263	1.721116144	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.1243448289	1
98	0.16293237	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.0424623424	1
1622	0.9272205994	1
1621	nan	1
10090	nan	1
5184	1.8003916738	1
1629	nan	1
8836	1.9600471905	1
8833	2.2192571601	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	nan	1
4258	0.9116234672	1
23057	nan	1
4257	0.9286525966	1
1178	nan	1
5538	1.4152932374	1
29925	nan	1
11164	1.7830820253	1
50700	nan	1
1579	nan	1
8760	0.7980165692	1
1573	nan	1
1572	nan	1
79717	0.6542589244	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.521238405	1
51478	0.1771690149	1
8540	1.9820019962	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.5483852182	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.5061432827	1
8509	nan	1
1373	nan	1
1374	2.158263874	1
1376	1.5531380605	1
28965	nan	1
2744	3.2043325763	1
23475	0	1
2747	nan	1
2746	2.0796622308	1
23478	nan	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.6432652322	1
65263	0.8816810926	1
128869	0.2808312165	1
6783	nan	1
4729	1.3935945221	1
4728	0.7631063275	1
4724	nan	1
4726	nan	1
4720	1.3002329677	1
4723	0.9930080462	1
4722	1.8416407824	1
64849	nan	1
64841	1.2805972637	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.0286529401	1
293	3.1439601932	1
64600	nan	1
51102	nan	1
291	1.3011639315	1
51109	1.6256182424	1
9536	nan	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	1.1031739737	1
175	nan	1
2053	nan	1
2052	1.3646909569	1
4538	nan	1
30061	nan	1
4536	nan	1
26035	nan	1
10400	nan	1
9334	nan	1
10402	nan	1
9331	nan	1
53343	nan	1
10390	0.2208891569	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	0.6377479289	1
5198	2.4752293452	1
10087	0.3640155627	1
1962	0.2860235929	1
115019	nan	1
2877	0.9294675151	1
2875	nan	1
54187	0.9402833981	1
2878	nan	1
54344	0.9567794323	1
11238	nan	1
79017	1.8664756778	1
23517	1.4391926258	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	1.2043004144	1
1549	nan	1
8714	nan	1
83733	nan	1
549	nan	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	1.0446166187	1
6561	nan	1
6560	0.421202097	1
6563	nan	1
410	nan	1
411	nan	1
412	nan	1
1384	0.9491413383	1
23464	nan	1
55326	0.5937045933	1
65985	1.368498477	1
8443	nan	1
256435	nan	1
55748	1.4764981582	1
366	nan	1
383	nan	1
384	nan	1
4758	nan	1
4759	nan	1
92745	0.6463339873	1
27159	nan	1
9962	nan	1
9963	nan	1
60481	1.2933189797	1
2194	3.1897150125	1
250	nan	1
251	nan	1
55811	nan	1
2203	nan	1
124935	nan	1
57678	nan	1
201562	0.7260805279	1
63917	nan	1
57419	nan	1
94005	1.0157270179	1
79837	nan	1
7841	1.4424021447	1
4831	2.1442272278	1
4830	nan	1
4524	nan	1
84105	0.5703467621	1
4837	nan	1
7991	nan	1
2519	0.1406460164	1
2517	0.6701969365	1
9615	nan	1
2730	1.0335714684	1
2731	nan	1
5298	nan	1
9348	nan	1
10166	0.7952946796	1
10165	2.3159020676	1
5295	nan	1
5293	nan	1
5290	nan	1
5291	nan	1
9187	nan	1
57094	nan	1
5050	2.2613789693	1
83852	nan	1
5052	3.2200335717	1
5053	nan	1
84076	nan	1
1811	nan	1
10768	0.8980975683	1
54407	1.1556767279	1
54995	0.2541439862	1
4953	nan	1
1609	nan	1
9296	nan	1
1603	2.196129536	1
1607	nan	1
1606	nan	1
8854	nan	1
5476	1.3390082868	1
5471	1.1260072128	1
347734	1.3972473479	1
5277	1.3324469403	1
5279	nan	1
7054	nan	1
2998	nan	1
1158	nan	1
8639	nan	1
8140	2.193029559	1
1152	1.1589405183	1
1555	nan	1
1551	nan	1
1553	nan	1
29124	nan	1
3038	nan	1
1557	nan	1
55	nan	1
54	nan	1
2992	nan	1
3037	nan	1
3030	2.5282630274	1
50	2.3466795634	1
3032	2.0492323749	1
52	2.0954235314	1
8703	nan	1
3034	nan	1
535	nan	1
534	nan	1
533	nan	1
5805	nan	1
8705	nan	1
8704	nan	1
3036	nan	1
8034	nan	1
51	1.1456663846	1
132789	nan	1
5137	nan	1
8529	nan	1
8528	nan	1
53	0.6368215251	1
3295	1.9725766355	1
9990	nan	1
2997	nan	1
8527	nan	1
8526	0	1
8525	nan	1
6518	nan	1
6519	nan	1
28231	nan	1
28232	nan	1
6510	2.7018553476	1
6511	nan	1
6512	nan	1
6513	1.6991708927	1
6514	nan	1
6515	nan	1
6517	nan	1
3292	nan	1
3620	nan	1
3293	nan	1
427	1.4724967614	1
8706	nan	1
23498	nan	1
51056	1.8651782769	1
27010	nan	1
23382	nan	1
50506	nan	1
55790	nan	1
10998	nan	1
10999	0.1006727281	1
84812	nan	1
10993	nan	1
55315	nan	1
55312	nan	1
27124	nan	1
60490	nan	1
64132	nan	1
64131	nan	1
124637	nan	1
2182	1.8941747171	1
2181	2.1277076284	1
2180	1.2141286432	1
229	nan	1
2184	0.2976906029	1
226	2.9762393247	1
225	nan	1
224	1.372367637	1
223	1.415007122	1
222	nan	1
220	nan	1
27235	nan	1
27232	nan	1
6697	2.0267188135	1
9856	nan	1
159	1.4810944329	1
93979	nan	1
80162	nan	1
6342	1.8324787058	1
4513	2.331164352	1
80168	nan	1
6185	2.2857924212	1
6184	2.5852201017	1
9420	nan	1
200576	nan	1
5289	nan	1
2720	1.3360662255	1
5281	nan	1
113189	nan	1
5283	nan	1
5287	nan	1
5286	nan	1
7941	nan	1
5049	1.5272032874	1
5048	1.3307475626	1
84679	nan	1
1806	nan	1
84002	nan	1
1800	0.9164672538	1
1809	2.1005841851	1
1808	2.5191717228	1
9514	nan	1
9517	0.8983703752	1
113452	nan	1
113451	nan	1
159963	nan	1
246213	nan	1
8867	nan	1
7306	nan	1
3251	2.1737556348	1
8869	nan	1
84532	nan	1
1491	nan	1
5464	2.7004929469	1
10201	0.382324589	1
10195	0.417034471	1
2632	1.5175022251	1
8608	nan	1
1120	1.1690161063	1
8604	0.2009633511	1
11136	nan	1
171425	nan	1
3029	0.7990343734	1
3028	2.5784957849	1
2983	nan	1
2982	nan	1
2987	0.957272398	1
2986	nan	1
2984	nan	1
525	nan	1
526	1.4602233392	1
527	nan	1
521	1.3404718771	1
522	1.4411373521	1
523	1.5982891646	1
83715	nan	1
528	0.8419193205	1
8733	nan	1
4199	0.83179959	1
4190	2.3252925844	1
4191	3.2222831468	1
197258	nan	1
197257	nan	1
195814	nan	1
4351	nan	1
8288	nan	1
4353	nan	1
6509	nan	1
11000	nan	1
6507	nan	1
6506	nan	1
6505	nan	1
79611	nan	1
438	nan	1
23483	nan	1
11343	nan	1
51022	nan	1
199974	nan	1
160851	nan	1
50515	nan	1
284098	nan	1
55276	1.2322710174	1
192134	nan	1
81579	nan	1
64834	1.2808312165	1
9942	nan	1
55301	nan	1
55650	nan	1
9945	nan	1
56474	1.2457733988	1
51805	0.4985123867	1
57786	nan	1
51809	1.612831592	1
130752	nan	1
239	nan	1
230	0.8253389739	1
231	1.9236153751	1
10728	2.3828180354	1
2224	1.4908411602	1
441024	nan	1
2222	0.6379192685	1
5146	nan	1
5145	nan	1
4507	1.5062824796	1
5140	nan	1
5141	nan	1
26063	nan	1
26061	nan	1
64499	nan	1
80150	0.3407775868	1
2538	nan	1
2539	2.4271986449	1
2530	nan	1
2531	nan	1
2712	nan	1
2713	0.1135877067	1
2717	1.0172602619	1
9365	nan	1
8985	1.6911529206	1
10690	nan	1
9167	0.8288848879	1
56895	nan	1
56894	nan	1
1836	nan	1
3795	nan	1
337876	nan	1
