gene	mean	var
55349	0.6152748612	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	0	1
4731	nan	1
81539	0.3917263267	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.2352945658	1
51604	1.2261246583	1
290	nan	1
51606	0.8858050343	1
586	nan	1
4832	1.3271535734	1
587	1.2098027695	1
56052	0.5012899977	1
4522	2.7503895308	1
270	nan	1
271	0.7858325519	1
275	nan	1
80201	2.0561666801	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	1.8924621597	1
53354	nan	1
10380	1.8353151028	1
8942	nan	1
7264	1.523362208	1
84693	0.4607903707	1
7263	1.1536909434	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.4182008975	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.5676766432	1
1622	2.5773944125	1
1621	nan	1
10090	nan	1
5184	1.1684408417	1
1629	0.2199797613	1
8836	1.2578998469	1
8833	2.2549722395	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.6872406741	1
4258	nan	1
23057	nan	1
4257	2.0563170557	1
1178	nan	1
5538	1.6085637553	1
29925	0.6904552587	1
11164	2.2488893509	1
50700	nan	1
1579	nan	1
8760	0.6936160877	1
1573	nan	1
1572	nan	1
79717	1.0992597911	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.2814933994	1
51478	0.4793209956	1
8540	1.9216588901	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.608820279	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.6477765488	1
8509	nan	1
1373	0.7176511989	1
1374	1.5730403483	1
1376	1.8108239983	1
28965	nan	1
2744	4.776167358	1
23475	nan	1
2747	nan	1
2746	2.590506478	1
23478	1.9297300662	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.5344807892	1
65263	0.3546454478	1
128869	nan	1
6783	nan	1
4729	1.3385307027	1
4728	1.4014016039	1
4724	nan	1
4726	1.4588283879	1
4720	1.2695368701	1
4723	1.073969203	1
4722	1.383649457	1
64849	nan	1
64841	1.3917867167	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.1074775677	1
293	2.9256514109	1
64600	nan	1
51102	0	1
291	0.7983718881	1
51109	1.2157165921	1
9536	nan	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	0.2560466127	1
175	0.3503155229	1
2053	nan	1
2052	2.159698553	1
4538	nan	1
30061	nan	1
4536	nan	1
26035	nan	1
10400	nan	1
9334	0.2272462622	1
10402	nan	1
9331	nan	1
53343	0.8284432287	1
10390	0.1163234201	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	0.9783408549	1
5198	2.1161867581	1
10087	0.7865022616	1
1962	1.4194208665	1
115019	nan	1
2877	nan	1
2875	nan	1
54187	1.3942254803	1
2878	nan	1
54344	1.6812356558	1
11238	nan	1
79017	1.6286388228	1
23517	1.1803494815	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	2.0723405221	1
1549	nan	1
8714	0.8514001434	1
83733	nan	1
549	1.2345146294	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	nan	1
6561	nan	1
6560	nan	1
6563	nan	1
410	nan	1
411	nan	1
412	nan	1
1384	1.5171404072	1
23464	nan	1
55326	0.215381338	1
65985	1.318947749	1
8443	0.7542202301	1
256435	nan	1
55748	1.7490122465	1
366	nan	1
383	0	1
384	nan	1
4758	0.4542243785	1
4759	nan	1
92745	nan	1
27159	nan	1
9962	nan	1
9963	nan	1
60481	1.0775384157	1
2194	3.3696755569	1
250	nan	1
251	nan	1
55811	nan	1
2203	nan	1
124935	nan	1
57678	nan	1
201562	0.3509130389	1
63917	nan	1
57419	nan	1
94005	0.9236952258	1
79837	0.1745878507	1
7841	1.7484149496	1
4831	3.5137792241	1
4830	nan	1
4524	nan	1
84105	0.3145335292	1
4837	1.5115162566	1
7991	nan	1
2519	nan	1
2517	nan	1
9615	1.3995074448	1
2730	1.2910404095	1
2731	0.4558947439	1
5298	nan	1
9348	nan	1
10166	nan	1
10165	2.2461535623	1
5295	nan	1
5293	nan	1
5290	nan	1
5291	nan	1
9187	nan	1
57094	nan	1
5050	1.9079870363	1
83852	nan	1
5052	3.8032341252	1
5053	nan	1
84076	nan	1
1811	nan	1
10768	1.2657596737	1
54407	0.6312212162	1
54995	0.2110084753	1
4952	0.6522083336	1
4953	nan	1
1609	nan	1
9296	0.8326537892	1
1603	1.7001665212	1
1607	nan	1
1606	nan	1
8854	nan	1
5476	1.778904722	1
5471	1.1133470083	1
347734	nan	1
5277	nan	1
5279	nan	1
7054	nan	1
2998	nan	1
1158	nan	1
8639	nan	1
8140	1.2263633521	1
1555	nan	1
1551	nan	1
1553	nan	1
29124	nan	1
3038	nan	1
1557	nan	1
55	nan	1
54	nan	1
2992	nan	1
3037	nan	1
3030	2.6205486684	1
50	2.2683349473	1
3032	2.1256284369	1
52	2.537733139	1
8703	nan	1
3034	nan	1
535	nan	1
534	nan	1
533	nan	1
5805	nan	1
8705	nan	1
8704	nan	1
3036	nan	1
8034	nan	1
51	1.2169556901	1
132789	0.3211559101	1
5137	nan	1
8529	nan	1
8528	nan	1
53	0.6284812889	1
