gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	0.5864754285	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.3689442338	1
51604	0.9993073392	1
290	nan	1
51606	1.17813301	1
586	nan	1
4832	1.1037955757	1
587	0.6274822456	1
56052	0.876262728	1
4522	3.0891292983	1
270	nan	1
271	nan	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	1.7485211958	1
53354	nan	1
10380	1.5457668159	1
8942	1.4204961336	1
7264	1.5946897322	1
84693	nan	1
7263	1.2568300542	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	0.5577158378	1
10164	nan	1
2739	2.4160077022	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.1522676949	1
1622	2.423453499	1
1621	nan	1
10090	nan	1
5184	1.1619801266	1
1629	0	1
8836	2.1068088452	1
8833	2.3327929366	1
3340	0.2474604728	1
5051	nan	1
1757	nan	1
4259	1.2120144857	1
4258	nan	1
23057	nan	1
4257	2.105001056	1
1178	nan	1
5538	1.7276159775	1
29925	0.6088935436	1
11164	2.1498816865	1
50700	nan	1
1579	nan	1
8760	0.444733681	1
1573	nan	1
1572	nan	1
79717	1.3773590413	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.9985687747	1
51478	0.7619105077	1
8540	nan	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.7569768351	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.1450326773	1
8509	nan	1
1373	nan	1
1374	2.3542506047	1
1376	1.5386129405	1
28965	nan	1
2744	0	1
23475	1.7526183439	1
2747	nan	1
2746	2.1068204839	1
23478	1.5280645231	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.4353314799	1
128869	1.0385983664	1
6783	nan	1
4729	1.0015155265	1
4728	0.8255280805	1
4724	nan	1
4726	1.2410144253	1
4720	1.046559744	1
4723	nan	1
4722	1.7361429214	1
64849	nan	1
64841	1.8219993905	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	1.9956845798	1
