gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	0.6126863734	1
10965	nan	1
4731	0.3218303632	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.019421947	1
51604	0.7827385155	1
290	0.648094609	1
51606	1.3579219212	1
586	0.3057890496	1
4832	1.3152183375	1
587	1.3458748795	1
56052	0.3158661086	1
4522	2.5805142589	1
270	nan	1
271	1.101769164	1
275	nan	1
80201	2.0739754795	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	1.2964138175	1
10632	1.9771423466	1
53354	nan	1
10380	1.3174096621	1
8942	nan	1
7264	1.2818435584	1
84693	nan	1
7263	1.4231165319	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	0.5042830475	1
10164	nan	1
2739	2.3050891983	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.1446114695	1
1622	2.380035078	1
1621	nan	1
10090	nan	1
5184	1.1715603168	1
1629	nan	1
8836	1.728896016	1
8833	2.3068550741	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.105555856	1
4258	0.9576745719	1
23057	nan	1
4257	2.1489531767	1
1178	nan	1
5538	1.4616909432	1
29925	1.0088763146	1
11164	1.6059532744	1
50700	nan	1
1579	nan	1
8760	0.5543649112	1
1573	nan	1
1572	nan	1
79717	0.8218760385	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.8696319968	1
8540	1.8860759965	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.7102603649	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.6827060842	1
8509	nan	1
1373	1.1668574575	1
1374	nan	1
1376	1.3518408773	1
28965	nan	1
2744	4.2725110113	1
23475	2.2210725971	1
2747	nan	1
2746	2.3540530485	1
23478	1.9225759782	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.5272032874	1
65263	0.8755388068	1
128869	0.4850827423	1
6783	nan	1
4729	0.8821499244	1
4728	0.9187972668	1
4724	nan	1
4726	0.8163227002	1
4720	0.4128264633	1
4723	0.3568761367	1
4722	1.4681458426	1
64849	nan	1
64841	1.3005310933	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
