gene	mean	var
55349	1.3746664132	1
55343	0.0712493102577	1
84912	0.24752992853	1
23443	1.08604503614	1
55293	0.180363659166	1
51268	0.0	1
343	0.0	1
3992	0.163519273917	1
3990	0.0	1
55902	1.0124996011	1
55907	0.7694796293	1
10965	0.0	1
4731	0.5662444918	1
81539	1.11444606741	1
81537	0.360455742495	1
154091	0.0	1
55586	0.0	1
292	2.6005540937	1
51604	0.9650443579	1
290	0.0	1
51606	0.7059170924	1
586	0.0	1
4832	0.320156244503	1
587	0.8035033099	1
56052	0.7244133148	1
4522	2.8109505292	1
270	0.0	1
271	0.4342376074	1
275	0.0	1
80201	0.0	1
108	0.0	1
109	0.102104965463	1
56901	0.0	1
100	0.2986270267	1
107	0.0	1
9435	0.0	1
79813	0.106957101478	1
84129	0.0	1
79814	1.1514125519	1
9415	0.451215952098	1
10632	1.9022090743	1
53354	0.422523687788	1
10380	1.1279127838	1
8942	0.0	1
7264	0.9690106917	1
84693	0.28298293716	1
7263	1.8363577229	1
5296	0.402433962695	1
2686	0.0	1
2687	0.0	1
5294	0.0	1
2683	0.362001021588	1
10164	0.0	1
2739	2.0341978631	1
98	0	1
10560	0.207491429268	1
10568	0.0	1
95	0.392978977895	1
97	1.0991176519	1
1622	2.4812910352	1
1621	0.0	1
10090	0.0379352715504	1
5184	1.6478435282	1
1629	0.817715627315	1
8836	1.9368887139	1
8833	2.2644662876	1
3340	0.0	1
5051	0.0	1
1757	0.0	1
4259	1.0591058912	1
4258	1.0228174651	1
23057	0.0	1
4257	1.1104654857	1
1178	0.0	1
5538	1.6681724729	1
29925	0.178690412195	1
11164	2.028395089	1
50700	0.0	1
1579	0.0	1
8760	0.779622278	1
1573	0.0	1
1572	0.0	1
79717	0.6411789457	1
516	1.25652680973	1
1577	0.0	1
1576	0.0	1
51477	0.7224859588	1
51478	0.791750506412	1
8540	1.9018547156	1
6572	0.0	1
6573	0.1813848776	1
6570	0.0	1
6571	0.0	1
6576	1.5553190403	1
6574	0.91643569744	1
6575	0.0	1
6578	0.0	1
6579	0.0	1
1371	1.3888176881	1
8509	0.0	1
1373	0.0	1
1374	2.0772208147	1
1376	1.518788757	1
28965	0.0	1
2744	2.9103917737	1
23475	1.4284213842	1
2747	0.57177944027	1
2746	2.2140740961	1
23478	3.67104538683	1
4846	0.0	1
253430	0.0	1
196743	0.0	1
4842	0.0	1
4843	0.0	1
55753	0.0	1
51292	0.519486853	1
65263	0.8433840588	1
128869	0.2367639684	1
6783	0.0	1
4729	1.1816984441	1
4728	2.04266203259	1
4724	0.2513994888	1
4726	1.1610463362	1
4720	1.0886926691	1
4723	0.9182496235	1
4722	1.7219216101	1
64849	0.0	1
64841	1.5947843394	1
11282	1.4290880659	1
11285	0.0	1
247	0.0	1
117247	0.0	1
240	0.0	1
242	0.0	1
117248	0.0	1
248	0.0	1
81616	0.0	1
2271	1.9660996933	1
293	3.3499167217	1
64600	0.0	1
51102	0.2706157639	1
291	1.167611929	1
51109	1.5303967246	1
9536	0.0	1
125061	0.0	1
9245	1.26146180735	1
122970	0.0	1
56913	0.0644311537534	1
178	2.23231803588	1
175	0.0858003445827	1
2053	0.3432830737	1
2052	1.5685618092	1
4538	4.88654996592	1
30061	0.334417917328	1
4535	0.2420386045	1
4536	0.1442379058	1
26035	0.0	1
10400	0.492863309822	1
9334	0.89613162817	1
10402	0.0	1
9331	0.0	1
53343	0.4622817327	1
10390	0.0110292442	1
10396	0.0	1
54965	0.202410614117	1
54963	0.464859688848	1
2694	0.0	1
54981	0.183912658369	1
84649	0.0	1
6817	0.4651726907	1
5198	2.5441754089	1
10087	0.6215281934	1
1962	0.4117896856	1
115019	0.0	1
2877	0.9971403085	1
2875	0.0	1
54187	1.4500993447	1
2878	0.0	1
54344	0.718140176812	1
11238	0.0	1
79017	1.6376450927	1
23517	1.748109347	1
1544	0.0	1
1545	0.0969569944714	1
1543	0.0	1
11112	1.4079959378	1
1549	0.0	1
8714	0.034669302527	1
83733	0.0	1
549	0.0961517529	1
8029	0.0	1
51447	1.2530630223	1
765	0.0	1
8534	0.0	1
6568	0.0	1
6565	0.0	1
6564	0.0	1
6567	0.0	1
6566	2.0640398933	1
6561	0.0	1
6560	0.1977137516	1
6563	0.0	1
410	0.0	1
411	0.0	1
412	0.0	1
1384	1.1108288855	1
23464	0.340657230541	1
55326	0.632888109	1
65985	1.2413560868	1
8443	0.3778893345	1
256435	0.0	1
55748	1.4664966051	1
366	0.0	1
383	0	1
384	0.2728052544	1
4758	0.5813541549	1
4759	0.0	1
92745	0.4183997308	1
27159	0.0	1
9962	0.0888637069341	1
9963	0.0	1
60481	3.18820434653	1
2194	3.2738364564	1
250	0.0	1
251	0.0	1
55811	0.0	1
2203	0.159224987172	1
124935	0.0	1
57678	0.0	1
201562	1.10324385034	1
63917	0.0699299139361	1
