gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	0.8005094997	1
10965	0	1
4731	nan	1
81539	0.6722911493	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.0563889561	1
51604	0.8462033683	1
290	0.3675736656	1
51606	0.8542825702	1
586	2.1717424442	1
4832	1.2456043304	1
587	1.1693135321	1
56052	0.7195433047	1
4522	2.5478375048	1
270	nan	1
271	0.7534068952	1
275	nan	1
80201	2.5811784971	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	2.0063094381	1
53354	nan	1
10380	0.8000733841	1
8942	nan	1
7264	0.5592995423	1
84693	nan	1
7263	1.6808013148	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.1010208221	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	nan	1
1622	2.4352495349	1
1621	nan	1
10090	nan	1
5184	1.2800118295	1
1629	0.0645855115	1
8836	1.43505827	1
8833	1.9046444463	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.8112954264	1
4258	nan	1
23057	nan	1
4257	2.4617937469	1
1178	nan	1
5538	1.6191914971	1
29925	nan	1
11164	1.6164283665	1
50700	nan	1
1579	nan	1
8760	0	1
1573	nan	1
1572	nan	1
79717	0.4610993488	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.3063775246	1
51478	0.6119959209	1
8540	2.2126945079	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.4284768815	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.4077631813	1
8509	nan	1
1373	1.6409748679	1
1374	0	1
1376	1.500138739	1
28965	nan	1
2744	5.5367471953	1
23475	1.7484813565	1
2747	nan	1
2746	2.4139468532	1
23478	1.8531360688	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	0.9234556297	1
128869	nan	1
6783	nan	1
4729	1.279933712	1
4728	1.0704969712	1
4724	0.2705359377	1
4726	1.3907589434	1
4720	0.911231064	1
4723	1.0793461797	1
4722	1.6900300455	1
64849	nan	1
64841	1.5226703185	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
