gene	mean	var
55349	0.7216250332	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	0.7441034047	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.6941582218	1
51604	1.0146346877	1
290	3.3339672662	1
51606	0.3710711874	1
586	nan	1
4832	1.1701392064	1
587	0.821067777	1
56052	0.3377791507	1
4522	2.7252407162	1
270	nan	1
271	0.3548098599	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	2.1362744139	1
10632	2.1690362772	1
53354	nan	1
10380	0.9375336867	1
8942	nan	1
7264	1.2679737209	1
84693	nan	1
7263	1.8806145703	1
5296	nan	1
2686	0.6195669292	1
2687	nan	1
5294	nan	1
2683	0.7046702359	1
10164	nan	1
2739	2.4056627404	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.3220076769	1
1622	2.3943455589	1
1621	nan	1
10090	nan	1
5184	1.1399348441	1
1629	nan	1
8836	1.4856425727	1
8833	1.7317071726	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	0.8925860709	1
4258	nan	1
23057	nan	1
4257	1.4419719904	1
1178	nan	1
5538	0	1
29925	0.787340985	1
11164	1.9502693657	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	0.5352409377	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.2162461286	1
51478	0.2210278627	1
8540	nan	1
6572	nan	1
6573	0.5987205986	1
6570	nan	1
6571	nan	1
6576	1.7199405945	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	0.6839867119	1
8509	nan	1
1373	nan	1
1374	1.5293421847	1
1376	0.7386360939	1
28965	nan	1
2744	1.8490466366	1
23475	nan	1
2747	nan	1
2746	2.3034271431	1
23478	1.7894367769	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	0.7747493575	1
128869	0.4063348195	1
6783	nan	1
4729	1.1009559444	1
4728	nan	1
4724	nan	1
4726	1.0622704349	1
4720	1.3759835034	1
4723	0.7704023561	1
4722	1.6646591467	1
64849	nan	1
64841	0.3798178764	1
11282	0	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.0564085632	1
293	3.3316154229	1
64600	nan	1
51102	0.2533556798	1
291	0.2754970892	1
51109	2.0046486261	1
9536	0.4638191506	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	nan	1
175	nan	1
2053	nan	1
2052	1.9328596745	1
4538	0.1851425336	1
30061	nan	1
4536	nan	1
26035	nan	1
10400	nan	1
9334	1.2399449973	1
10402	nan	1
9331	nan	1
53343	nan	1
10390	0.5584364195	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	nan	1
5198	2.1116986555	1
10087	nan	1
1962	nan	1
115019	nan	1
2877	nan	1
2875	nan	1
54187	1.2293974479	1
2878	nan	1
54344	1.8114218201	1
11238	nan	1
79017	1.5397526242	1
23517	0.7374798428	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	1.5962386942	1
1549	nan	1
8714	nan	1
83733	nan	1
549	0.1233880294	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	0.9007618448	1
6566	1.7979217683	1
6561	nan	1
6560	0	1
6563	nan	1
410	nan	1
411	nan	1
412	nan	1
1384	1.4172338389	1
23464	nan	1
55326	0.7348292815	1
65985	nan	1
8443	nan	1
256435	nan	1
55748	1.5534294914	1
366	nan	1
383	nan	1
384	nan	1
4758	0.7730960932	1
4759	1.0085407774	1
92745	nan	1
27159	nan	1
9962	nan	1
9963	nan	1
60481	1.1418609322	1
2194	3.0012633057	1
250	nan	1
251	nan	1
55811	nan	1
2203	nan	1
124935	nan	1
57678	nan	1
201562	nan	1
63917	nan	1
57419	nan	1
94005	1.1359915603	1
79837	0.1850259015	1
7841	1.5532838004	1
4831	3.1140572577	1
4830	nan	1
