gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	0.7838906535	1
55907	nan	1
10965	nan	1
4731	0.6550007025	1
81539	0.5632032014	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.3871119424	1
51604	1.2362459232	1
290	nan	1
51606	1.0761479738	1
586	nan	1
4832	0.3610118407	1
587	0.2265533293	1
56052	0.7086185277	1
4522	2.7691378495	1
270	nan	1
271	nan	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	0.9274581279	1
10632	2.0928891337	1
53354	nan	1
10380	1.2936975819	1
8942	1.4653766327	1
7264	1.2171633677	1
84693	nan	1
7263	1.2949823659	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	0.3821085298	1
10164	nan	1
2739	2.4050189075	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.1007199436	1
1622	2.2359866687	1
1621	nan	1
10090	nan	1
5184	1.5855101147	1
1629	nan	1
8836	1.2004195277	1
8833	2.3311990664	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	0.9189677032	1
4258	nan	1
23057	nan	1
4257	2.6943538262	1
1178	nan	1
5538	1.4400850398	1
29925	0.4561551592	1
11164	1.9620821992	1
50700	nan	1
1579	nan	1
8760	0.3196256375	1
1573	nan	1
1572	nan	1
79717	0.9258191791	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.3299824084	1
51478	0.5229159538	1
8540	1.93533686	1
6572	nan	1
6573	0.1380001758	1
6570	nan	1
6571	0.0265788314	1
6576	1.8908959283	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.3142087691	1
8509	nan	1
1373	nan	1
1374	0.8920425054	1
1376	1.3178394439	1
28965	nan	1
2744	4.5393477231	1
23475	nan	1
2747	nan	1
2746	1.9262515456	1
23478	1.7679966371	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	0.9043570029	1
128869	0.7657051762	1
6783	nan	1
4729	1.2300376641	1
4728	1.2723284879	1
4724	nan	1
4726	1.4778375791	1
4720	1.383618692	1
4723	0.9604957113	1
4722	1.7800794106	1
64849	nan	1
64841	1.5099550356	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
