gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	0.2128176195	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.2812208581	1
51604	0.3946156146	1
290	0.3566470353	1
51606	1.2246808618	1
586	nan	1
4832	0.185521372	1
587	0.7336765781	1
56052	0.5773156361	1
4522	2.702328226	1
270	nan	1
271	nan	1
275	nan	1
80201	1.0863260352	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	0.5793983988	1
53354	nan	1
10380	0.4454280395	1
8942	0	1
7264	1.057028998	1
84693	0.448353488	1
7263	1.0365029098	1
5296	nan	1
2686	nan	1
2687	0	1
5294	nan	1
2683	1.2067853359	1
10164	nan	1
2739	1.9693142992	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.1115950657	1
1622	2.4791481912	1
1621	nan	1
10090	nan	1
5184	1.548658816	1
1629	nan	1
8836	1.4873419775	1
8833	2.0293282024	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.7079483875	1
4258	nan	1
23057	nan	1
4257	1.8506135583	1
1178	nan	1
5538	1.971989633	1
29925	0.5148721904	1
11164	2.2360298885	1
50700	nan	1
1579	nan	1
8760	1.0152746091	1
1573	nan	1
1572	nan	1
79717	1.3803451776	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.71670919	1
51478	0.4232850481	1
8540	1.9958949865	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.0096703584	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.3624355461	1
8509	nan	1
1373	1.7642348321	1
1374	2.2804412251	1
1376	1.6041609953	1
28965	nan	1
2744	3.8489793365	1
23475	0.8241468206	1
2747	nan	1
2746	2.4133151938	1
23478	2.0366670888	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.952167851	1
65263	nan	1
128869	0.5484694205	1
6783	nan	1
4729	1.1729618008	1
4728	1.0796126694	1
4724	nan	1
4726	0.9985687747	1
4720	1.0351803758	1
4723	1.0797675301	1
4722	1.678451458	1
64849	nan	1
64841	1.8929099793	1
11282	0	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
