gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	0.1250205912	1
81539	0.5825428557	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.4230041514	1
51604	1.1139942986	1
290	1.3552698829	1
51606	1.0040444568	1
586	nan	1
4832	nan	1
587	0.0344522929	1
56052	0.5363678502	1
4522	2.2931295548	1
270	nan	1
271	0.268735958	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	2.0614120112	1
53354	nan	1
10380	0.2277266935	1
8942	nan	1
7264	1.0555515598	1
84693	nan	1
7263	1.0628761186	1
5296	nan	1
2686	0.5789080805	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.3702787658	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.7232607428	1
1622	2.1264190352	1
1621	nan	1
10090	nan	1
5184	0.9472967703	1
1629	0.2178579143	1
8836	1.6937667484	1
8833	1.8278241503	1
3340	0	1
5051	nan	1
1757	nan	1
4259	nan	1
4258	nan	1
23057	nan	1
4257	1.7389348581	1
1178	nan	1
5538	1.3257146393	1
29925	0.595143659	1
11164	1.4024045258	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	0.8345968468	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.6134482301	1
8540	1.6432313889	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	2.2206966852	1
6574	nan	1
6575	0.7832536783	1
6578	nan	1
6579	nan	1
1371	1.8533656113	1
8509	nan	1
1373	nan	1
1374	1.1546615159	1
1376	0.6838634422	1
28965	nan	1
2744	3.9394098626	1
23475	nan	1
2747	nan	1
2746	2.3501161681	1
23478	1.8075095946	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.037336843	1
128869	nan	1
6783	nan	1
4729	1.1014393454	1
4728	nan	1
4724	nan	1
4726	nan	1
4720	1.0506718322	1
4723	0.9471370986	1
4722	1.581549247	1
64849	nan	1
64841	nan	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	1.9246965479	1
293	3.1080350181	1
