gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	0.3177320384	1
10965	nan	1
4731	0.3228577765	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.7529602253	1
51604	1.0770899703	1
290	nan	1
51606	1.4166354604	1
586	nan	1
4832	nan	1
587	1.0893595647	1
56052	0.6353248166	1
4522	2.6332345745	1
270	nan	1
271	1.8333752633	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	nan	1
53354	nan	1
10380	1.4140042313	1
8942	0.7906315687	1
7264	1.2152272156	1
84693	nan	1
7263	nan	1
5296	nan	1
2686	0.3861342141	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	1.9127439692	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	nan	1
1622	nan	1
1621	nan	1
10090	nan	1
5184	1.4820520296	1
1629	nan	1
8836	1.573298851	1
8833	2.4226105904	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	nan	1
4258	nan	1
23057	nan	1
4257	nan	1
1178	nan	1
5538	1.9298262951	1
29925	0.577177743	1
11164	1.7590685098	1
50700	nan	1
1579	nan	1
8760	0.4670808977	1
1573	nan	1
1572	nan	1
79717	0.1179486735	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.8439067461	1
51478	0.423453499	1
8540	1.8731942682	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.8713967718	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.9287315265	1
8509	nan	1
1373	0.949500954	1
1374	nan	1
1376	1.3195543306	1
28965	nan	1
2744	3.2584944565	1
23475	nan	1
2747	0.3128710868	1
2746	2.2195804596	1
23478	nan	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.8118926	1
65263	0.595974628	1
128869	0.3782321207	1
6783	nan	1
4729	0.5941406035	1
4728	1.3287623324	1
4724	nan	1
4726	nan	1
4720	1.2196298314	1
4723	0.4263350976	1
4722	1.7381331629	1
64849	nan	1
64841	1.5484273214	1
11282	0	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	1.9958724478	1
293	3.2142013619	1
64600	nan	1
