gene	mean	var
55349	nan	1
55343	0.0948974978	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	0.6709278849	1
3990	nan	1
55902	0.7766951358	1
55907	0.569625642	1
10965	nan	1
4731	nan	1
81539	0.6968587869	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.5612864136	1
51604	0.8227723461	1
290	1.204309713	1
51606	1.1086844739	1
586	1.0957579486	1
4832	nan	1
587	nan	1
56052	nan	1
4522	2.9999165481	1
270	nan	1
271	1.0897168418	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	2.0064194446	1
53354	nan	1
10380	1.4970458135	1
8942	nan	1
7264	1.3152543501	1
84693	nan	1
7263	1.2086259311	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.6168061938	1
98	nan	1
10560	0	1
10568	nan	1
95	nan	1
97	1.3204092413	1
1622	2.2229072037	1
1621	nan	1
10090	nan	1
5184	nan	1
1629	nan	1
8836	1.3377449583	1
8833	2.5991516043	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	nan	1
4258	0.804379929	1
23057	nan	1
4257	1.0948974978	1
1178	nan	1
5538	1.1399132753	1
29925	nan	1
11164	2.1826768828	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	0.2910023319	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.892900456	1
51478	nan	1
8540	1.7222462002	1
6572	nan	1
6573	0.7906797741	1
6570	nan	1
6571	nan	1
6576	2.0112903606	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.2926366631	1
8509	nan	1
1373	nan	1
1374	0.1427189994	1
1376	0.8265944341	1
28965	nan	1
2744	1.5570972434	1
23475	1.61587002	1
2747	nan	1
2746	2.008183072	1
23478	2.006617386	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	0.924218328	1
128869	0	1
6783	nan	1
4729	0.971584615	1
4728	nan	1
4724	nan	1
4726	0.5679584826	1
4720	1.2119231264	1
4723	0.0058911593	1
4722	1.6610522035	1
64849	nan	1
64841	0.5012665331	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.3785746365	1
293	2.9684428558	1
64600	nan	1
51102	nan	1
291	0.9084558929	1
51109	1.6422148608	1
9536	nan	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	0.2189111427	1
175	nan	1
2053	0.7076129292	1
2052	nan	1
4538	0.4656568967	1
30061	nan	1
4536	nan	1
26035	nan	1
10400	nan	1
9334	0	1
10402	nan	1
9331	nan	1
53343	nan	1
10390	0.161339003	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	0	1
5198	2.3750745109	1
10087	0.4495181719	1
1962	nan	1
115019	nan	1
2877	nan	1
2875	nan	1
54187	1.5383544832	1
2878	nan	1
54344	1.4181724854	1
11238	nan	1
79017	1.8152535691	1
23517	1.5863982823	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	1.3182330373	1
1549	nan	1
8714	nan	1
83733	nan	1
549	nan	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	1.5025318106	1
6561	nan	1
6560	nan	1
6563	nan	1
410	nan	1
411	nan	1
412	nan	1
1384	nan	1
23464	nan	1
55326	0.265396298	1
65985	nan	1
8443	nan	1
256435	nan	1
55748	1.7670051548	1
366	nan	1
383	nan	1
384	0.1278074459	1
4758	nan	1
4759	nan	1
92745	0.9983073653	1
27159	nan	1
9962	nan	1
9963	nan	1
60481	0.9927886692	1
2194	3.4118761783	1
250	nan	1
251	nan	1
55811	nan	1
2203	nan	1
124935	nan	1
57678	nan	1
201562	nan	1
63917	nan	1
57419	nan	1
94005	0.9179890262	1
79837	nan	1
7841	0.947204336	1
4831	3.4333330839	1
4830	nan	1
4524	1.0794949383	1
84105	0.4210892199	1
4837	nan	1
7991	0.5117224689	1
2519	nan	1
2517	nan	1
9615	nan	1
2730	1.2815712369	1
2731	nan	1
5298	0.402963975	1
9348	nan	1
10166	nan	1
10165	1.9318509003	1
5295	0.4087805712	1
5293	nan	1
5290	nan	1
5291	nan	1
9187	nan	1
57094	nan	1
5050	2.237410657	1
83852	nan	1
5052	3.3671904082	1
5053	nan	1
84076	nan	1
1811	nan	1
10768	0.8927099467	1
54407	1.2706556715	1
54995	nan	1
4953	nan	1
1609	nan	1
9296	1.042192305	1
1603	1.8747758919	1
1607	nan	1
1606	nan	1
8854	1.6029929631	1
5476	nan	1
5471	1.6631908712	1
347734	0.8287745152	1
5277	nan	1
5279	nan	1
7054	nan	1
2998	nan	1
1158	nan	1
8639	nan	1
8140	1.4972590107	1
1152	2.2845574232	1
1555	nan	1
1551	nan	1
1553	nan	1
29124	nan	1
3038	nan	1
1557	nan	1
55	nan	1
54	nan	1
2992	nan	1
3037	nan	1
3030	2.3255739999	1
50	2.3133777215	1
3032	1.9557835796	1
52	2.1031622368	1
8703	nan	1
3034	nan	1
535	0	1
534	nan	1
533	nan	1
5805	nan	1
8705	nan	1
8704	nan	1
3036	nan	1
8034	nan	1
51	1.1189288372	1
132789	nan	1
5137	nan	1
8529	nan	1
8528	nan	1
53	0.374226494	1
3295	1.9733844486	1
9990	nan	1
2997	nan	1
8527	nan	1
8526	nan	1
8525	nan	1
6518	nan	1
6519	nan	1
28231	nan	1
28232	nan	1
6510	2.2441221675	1
6511	nan	1
6512	nan	1
6513	1.2978030804	1
6514	nan	1
6515	0.9543144431	1
6517	nan	1
3292	nan	1
3620	nan	1
3293	nan	1
427	0.6920914779	1
8706	nan	1
23498	nan	1
51056	2.0078323808	1
27010	nan	1
23382	nan	1
50506	nan	1
55790	nan	1
10998	nan	1
10999	0.2190549756	1
84812	nan	1
10993	nan	1
55315	nan	1
55312	nan	1
27124	nan	1
60490	nan	1
64132	nan	1
64131	nan	1
124637	nan	1
2182	1.026389784	1
2181	2.1225582171	1
2180	1.0887897357	1
229	nan	1
2184	1.5350890144	1
226	3.2867163704	1
225	nan	1
224	nan	1
223	1.3910312378	1
222	nan	1
220	1.3920885407	1
27235	nan	1
27232	nan	1
6697	0.9572806093	1
9856	nan	1
159	1.7247220217	1
93979	nan	1
80162	nan	1
6342	1.7291737867	1
4513	2.1628965707	1
80168	nan	1
6185	2.0205449086	1
6184	2.4910574244	1
9420	nan	1
200576	nan	1
5289	nan	1
2720	0.3703104904	1
5281	nan	1
113189	nan	1
5283	nan	1
5287	nan	1
5286	nan	1
7941	nan	1
5049	1.8278241503	1
5048	0.9814043022	1
84679	nan	1
1806	nan	1
84002	nan	1
1800	nan	1
1809	nan	1
1808	1.0129621317	1
9514	nan	1
9517	0.2064061	1
113452	nan	1
113451	nan	1
159963	nan	1
246213	nan	1
8867	nan	1
7306	nan	1
3251	2.3875390073	1
8869	nan	1
84532	nan	1
1491	0.2748652157	1
5464	2.8408040946	1
10201	nan	1
10195	0.1180677709	1
2632	0.6150762936	1
8608	nan	1
1120	nan	1
8604	0.8461503428	1
11136	nan	1
171425	nan	1
3029	0.5364544148	1
3028	2.4196757757	1
2983	nan	1
2982	nan	1
2987	1.0540296515	1
2986	nan	1
2984	nan	1
525	nan	1
526	1.512820617	1
527	nan	1
521	1.7213423906	1
522	1.4569614555	1
523	1.7829593744	1
83715	nan	1
528	0.9786927288	1
8733	nan	1
4199	0	1
4190	2.6829841316	1
4191	3.0897894723	1
197258	nan	1
197257	nan	1
195814	nan	1
4351	nan	1
8288	nan	1
4353	nan	1
6509	nan	1
11000	nan	1
6507	nan	1
6506	nan	1
6505	nan	1
79611	nan	1
438	nan	1
23483	nan	1
11343	nan	1
51022	0.6143534632	1
199974	nan	1
160851	nan	1
50515	nan	1
284098	nan	1
55276	1.7127908465	1
192134	nan	1
81579	nan	1
64834	1.2563354135	1
9942	nan	1
55301	nan	1
55650	nan	1
9945	nan	1
56474	0.5732193281	1
51805	nan	1
57786	nan	1
51809	0.1334649196	1
130752	nan	1
239	nan	1
230	1.7154643209	1
231	0.3987355766	1
10728	2.2306725624	1
2224	2.1214005623	1
441024	nan	1
2222	0.6706261205	1
5146	nan	1
5145	nan	1
4507	nan	1
5140	nan	1
5141	nan	1
26063	nan	1
26061	nan	1
64499	nan	1
80150	nan	1
2538	nan	1
2539	2.6249833604	1
2530	nan	1
2531	0.2884817976	1
2712	nan	1
2713	nan	1
2717	nan	1
9365	nan	1
8985	1.3989435223	1
10690	nan	1
9167	0.7633887287	1
56895	nan	1
56894	nan	1
1836	nan	1
3795	nan	1
337876	nan	1
9563	nan	1
6240	2.0012484647	1
6241	1.3404718771	1
80025	nan	1
1956	nan	1
8871	nan	1
8876	nan	1
8879	nan	1
3242	nan	1
54511	nan	1
84706	nan	1
84701	nan	1
9016	nan	1
5498	0.6015610889	1
5250	2.6930129218	1
1717	1.3762652181	1
1716	nan	1
790	2.0061113563	1
1718	0.851001785	1
9388	nan	1
400410	nan	1
83549	nan	1
79623	nan	1
79751	1.3908799842	1
257068	nan	1
518	nan	1
29929	0	1
29926	0.5323234224	1
513	1.4789506162	1
515	1.8925384169	1
514	nan	1
517	nan	1
29920	1.7355686928	1
8501	nan	1
622	nan	1
8503	nan	1
8050	nan	1
23657	0.0121813254	1
6535	nan	1
6532	nan	1
6533	0.6153470451	1
6530	nan	1
6538	nan	1
2882	nan	1
7498	nan	1
206358	nan	1
8611	nan	1
8613	nan	1
8612	nan	1
91734	nan	1
115286	nan	1
11332	1.4419181912	1
8479	nan	1
23236	nan	1
13	nan	1
15	nan	1
19	nan	1
18	nan	1
27034	nan	1
26290	nan	1
64802	0.8739012397	1
9955	nan	1
9956	nan	1
9951	nan	1
56848	nan	1
9953	nan	1
203	1.8085169836	1
117283	nan	1
204	2.5532213464	1
55512	nan	1
80704	nan	1
166785	nan	1
686	nan	1
135152	nan	1
2235	nan	1
65220	nan	1
7360	1.3812741501	1
25769	nan	1
81490	0.0629791296	1
51146	nan	1
5092	1.439463248	1
57134	nan	1
64579	nan	1
3658	0	1
7367	nan	1
2098	2.2941514692	1
2525	nan	1
80142	1.4766720201	1
80146	nan	1
26275	0.6861229561	1
8277	nan	1
26279	nan	1
4881	nan	1
4882	nan	1
9377	2.3645945363	1
10682	1.326487343	1
81031	nan	1
53947	nan	1
113278	nan	1
7368	nan	1
8884	0.6927865184	1
7366	nan	1
8883	1.3439240491	1
90701	0.4535963314	1
132158	nan	1
84735	nan	1
54658	nan	1
10229	0.2618679021	1
80854	nan	1
9394	nan	1
9390	nan	1
1727	2.0167521686	1
788	0.7789418661	1
1723	nan	1
83884	nan	1
5625	nan	1
3000	nan	1
1588	nan	1
1589	nan	1
1582	nan	1
1583	nan	1
1580	nan	1
1581	nan	1
1586	nan	1
1584	nan	1
137964	nan	1
509	1.9611635561	1
506	2.7747368564	1
1036	nan	1
501	nan	1
635	nan	1
1215	nan	1
4245	0.2523578747	1
6521	nan	1
6520	2.6316559193	1
6523	nan	1
6522	0	1
6524	nan	1
6526	nan	1
6528	nan	1
8260	1.6415188623	1
1103	nan	1
5244	nan	1
1109	nan	1
11320	nan	1
8402	1.8153560467	1
151531	nan	1
51005	nan	1
51004	nan	1
55217	nan	1
8310	nan	1
2132	nan	1
5836	nan	1
5837	nan	1
5834	0.3018701318	1
5832	1.9616678309	1
27115	nan	1
5831	1.9710201366	1
11254	nan	1
2131	nan	1
11253	nan	1
64816	nan	1
9926	nan	1
216	1.9758382523	1
64781	nan	1
116369	nan	1
215	nan	1
212	nan	1
55500	nan	1
211	nan	1
218	nan	1
219	1.3966506255	1
6648	2.0115078376	1
6649	nan	1
6646	nan	1
140679	nan	1
51179	nan	1
93010	nan	1
57127	nan	1
6392	nan	1
6390	1.7886868461	1
6391	nan	1
10327	1.8256392813	1
5019	1.016386833	1
4891	nan	1
51703	nan	1
9498	nan	1
9497	nan	1
79966	nan	1
2806	2.1257510182	1
1854	2.6295653646	1
4967	0.1899553526	1
162417	nan	1
2729	0.4485919731	1
847	2.0592162938	1
7378	nan	1
84720	nan	1
8898	nan	1
8897	nan	1
7372	1.3749489832	1
7371	1.5959180215	1
54539	1.308979305	1
9194	nan	1
80864	nan	1
9197	nan	1
10257	0.5244758413	1
5238	1.2276253624	1
1738	2.0971942055	1
5230	2.9501608682	1
5232	nan	1
5236	nan	1
84343	nan	1
755	nan	1
5833	1.1812574266	1
79087	nan	1
1595	0.9149763374	1
3073	0.9585596833	1
1591	nan	1
1593	nan	1
1592	nan	1
2954	0.5796923243	1
6888	2.8904077149	1
7166	nan	1
79178	nan	1
4363	0.9929551033	1
1200	0.9996202906	1
30815	nan	1
30814	nan	1
92579	nan	1
3101	nan	1
8671	nan	1
1119	nan	1
1118	nan	1
23743	nan	1
55191	nan	1
50940	nan	1
5730	nan	1
6785	nan	1
26503	nan	1
483	1.293432595	1
482	nan	1
481	nan	1
10975	nan	1
51540	nan	1
89874	0.9289857588	1
25830	nan	1
91373	nan	1
6723	2.3430129061	1
8309	nan	1
5825	0.7324243538	1
51301	nan	1
51302	nan	1
4144	1.8005801799	1
4143	nan	1
29922	nan	1
56623	nan	1
222537	nan	1
80724	nan	1
51166	nan	1
259230	nan	1
6652	1.5476477507	1
55224	nan	1
55229	0.6169140841	1
191	2.6328014494	1
6389	1.8787590487	1
2548	nan	1
27306	nan	1
23007	nan	1
124454	0.442079569	1
9154	nan	1
10331	nan	1
9153	nan	1
9152	nan	1
2762	nan	1
5009	nan	1
2766	nan	1
9489	nan	1
9488	nan	1
146712	nan	1
9481	nan	1
9487	nan	1
130013	nan	1
80055	nan	1
377677	nan	1
196951	nan	1
4952	nan	1
9550	1.6476258074	1
54490	nan	1
2618	2.8954547179	1
5139	nan	1
5138	nan	1
3294	nan	1
5136	nan	1
376497	nan	1
10797	1.4499409201	1
3290	nan	1
3291	nan	1
10020	0.707817152	1
5130	nan	1
55808	nan	1
22978	0	1
54677	nan	1
54675	nan	1
26873	0.8718068563	1
10249	nan	1
7001	2.8334735533	1
10246	nan	1
29085	1.4065099735	1
9023	nan	1
5223	2.76839006	1
5226	2.6419773282	1
5224	nan	1
90161	nan	1
29880	0.6237285052	1
112724	1.7087786255	1
7177	nan	1
1798	nan	1
7173	nan	1
6898	nan	1
2944	0.7062099509	1
10905	0.0008772728	1
5352	0.7283955806	1
5351	0.608783642	1
5728	nan	1
11046	nan	1
11041	nan	1
8790	nan	1
91703	nan	1
8647	nan	1
51557	nan	1
23205	nan	1
129807	nan	1
50484	nan	1
50487	nan	1
5740	nan	1
11309	nan	1
5742	nan	1
5743	nan	1
498	2.7624252424	1
495	nan	1
496	nan	1
490	1.4117320142	1
491	nan	1
492	nan	1
493	nan	1
26	nan	1
6472	2.4316285645	1
6470	nan	1
6476	nan	1
89869	nan	1
3939	3.4226668353	1
3938	nan	1
126410	nan	1
3931	nan	1
5264	nan	1
6718	1.3986167058	1
6715	nan	1
6713	nan	1
4139	nan	1
55454	nan	1
65010	nan	1
93034	nan	1
4047	1.2409716987	1
51196	nan	1
4048	1.6840945442	1
51205	nan	1
10870	nan	1
10873	nan	1
79896	nan	1
4548	0.0423070914	1
90423	nan	1
2572	nan	1
2571	nan	1
26229	nan	1
10901	0.5010787707	1
26227	2.1391792958	1
2595	nan	1
9123	nan	1
2590	1.2998600226	1
2591	nan	1
2592	nan	1
2593	nan	1
10654	1.0383191014	1
5034	2.9016494284	1
5033	1.1724717957	1
7915	0.5402033709	1
4942	1.5956537603	1
53919	nan	1
978	nan	1
2110	0.4233412057	1
189	nan	1
1559	nan	1
54480	nan	1
2628	nan	1
2629	nan	1
7351	nan	1
7350	nan	1
7352	nan	1
7355	nan	1
7357	nan	1
7358	1.232074803	1
9588	3.2176505686	1
3284	nan	1
5106	1.5324981536	1
5105	nan	1
118881	0.6348420181	1
2026	0.9886986215	1
2027	0.9855017421	1
2752	0.0266488281	1
2023	3.6995872539	1
883	nan	1
5214	2.1301686343	1
10476	1.6416037999	1
5213	1.4016673087	1
5210	nan	1
5211	1.775361471	1
10157	nan	1
353	2.6244535822	1
771	nan	1
7108	nan	1
2977	nan	1
1040	nan	1
115584	nan	1
79723	nan	1
57818	nan	1
669	nan	1
217	0.9156908088	1
1267	0.6160141781	1
29988	nan	1
8789	nan	1
30833	1.1623950699	1
8781	1.6388262415	1
210	0	1
3283	nan	1
55501	nan	1
8659	1.1283560319	1
1468	0.5646048406	1
8654	nan	1
8435	nan	1
1312	2.486541658	1
284111	nan	1
6916	nan	1
23563	nan	1
529	1.2754181553	1
23169	nan	1
92483	nan	1
50814	1.333449571	1
318	nan	1
55089	nan	1
130367	nan	1
316	nan	1
314	nan	1
126792	nan	1
23305	nan	1
341947	nan	1
4129	nan	1
4128	nan	1
4123	nan	1
4122	nan	1
4121	nan	1
4126	nan	1
4125	0.2787602596	1
4124	0	1
6675	2.1916435929	1
23417	nan	1
81693	nan	1
4702	nan	1
4051	nan	1
51181	1.682721536	1
50617	nan	1
5973	nan	1
131669	nan	1
10861	nan	1
3612	0.9907788682	1
6647	2.2676121938	1
3614	nan	1
3615	1.8763715625	1
116285	nan	1
56994	0.4542505274	1
4357	1.5040732716	1
56603	nan	1
10919	nan	1
2585	0.547373515	1
2584	0.6983816858	1
2583	nan	1
7923	0.7546001387	1
7296	2.0140730813	1
7298	1.7868549659	1
7299	nan	1
10312	nan	1
11001	0.819863825	1
10317	nan	1
83594	nan	1
121260	nan	1
53905	nan	1
57486	1.7349748921	1
57171	nan	1
2109	2.4228636348	1
2108	2.2762068497	1
80270	nan	1
80271	nan	1
10005	nan	1
10007	1.557530352	1
2639	nan	1
83697	nan	1
113235	nan	1
9227	nan	1
54872	nan	1
874	0.7865874234	1
875	1.7851373976	1
873	1.5021807143	1
2745	0.3803141776	1
4597	1.0127959665	1
4594	1.2244678723	1
2030	0.787765806	1
4598	nan	1
9057	nan	1
57393	nan	1
644	1.8523839892	1
5207	nan	1
5209	nan	1
5208	0	1
9045	nan	1
80308	nan	1
1788	nan	1
1789	nan	1
768	nan	1
762	nan	1
763	nan	1
760	nan	1
761	nan	1
766	nan	1
767	1.5859737331	1
1786	2.2356840094	1
1787	nan	1
79143	1.1370458847	1
5373	0.8903502419	1
5372	nan	1
8228	nan	1
10026	nan	1
129642	nan	1
284273	nan	1
1327	2.0794329617	1
1329	2.0456830639	1
27068	1.6291110817	1
6901	nan	1
4200	0.8858437535	1
