gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	1.1686881979	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.9348269877	1
51604	0.9763257819	1
290	nan	1
51606	1.6626248255	1
586	nan	1
4832	nan	1
587	0.4509169521	1
56052	0.1284169432	1
4522	2.6753979408	1
270	nan	1
271	nan	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	0.6724335695	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	2.2386581979	1
53354	nan	1
10380	1.2183173279	1
8942	1.3733138127	1
7264	1.5179314926	1
84693	nan	1
7263	nan	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.4082576398	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.1333554455	1
1622	2.9832490683	1
1621	nan	1
10090	nan	1
5184	2.1494335063	1
1629	0	1
8836	1.5912700729	1
8833	2.4333605214	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.3840799387	1
4258	0.7171376292	1
23057	nan	1
4257	0.7529996558	1
1178	nan	1
5538	0.9822036294	1
29925	nan	1
11164	2.0558330528	1
50700	nan	1
1579	nan	1
8760	nan	1
1573	nan	1
1572	nan	1
79717	1.2174160586	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.1362417863	1
51478	0.061231074	1
8540	0.697859724	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.323388245	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.9392403864	1
8509	nan	1
1373	1.2755760088	1
1374	0.7230918169	1
1376	0.0370089292	1
28965	nan	1
2744	3.8638212112	1
23475	1.3819850191	1
2747	nan	1
2746	2.0776317836	1
23478	1.6365982066	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	0.6401746387	1
128869	0.4731814893	1
6783	nan	1
4729	1.0963425599	1
4728	1.2705359377	1
4724	nan	1
4726	1.1683701426	1
4720	1.4823462504	1
4723	1.2274534858	1
4722	1.9820330228	1
64849	nan	1
64841	1.254599721	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.1285442755	1
