gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	1.094047325	1
55293	nan	1
51268	nan	1
343	nan	1
3992	0.8175704781	1
3990	nan	1
55902	nan	1
55907	nan	1
10965	nan	1
4731	0.5670115827	1
81539	0.0513071238	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.527181182	1
51604	0.8724661801	1
290	1.8761835584	1
51606	0	1
586	0.760517669	1
4832	1.4502049289	1
587	1.3081747849	1
56052	1.1386928911	1
4522	2.8638668069	1
270	nan	1
271	0	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	0.2097935878	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	0.5639553675	1
9415	1.3906075949	1
10632	2.109882257	1
53354	nan	1
10380	1.265396298	1
8942	nan	1
7264	1.7156648857	1
84693	nan	1
7263	1.27344013	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.1274080385	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.9627232843	1
1622	2.4972116426	1
1621	nan	1
10090	nan	1
5184	1.5809246436	1
1629	nan	1
8836	1.7248202006	1
8833	2.1903444215	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	0.8751133545	1
4258	1.1034145102	1
23057	nan	1
4257	1.5676162252	1
1178	nan	1
5538	1.7566902323	1
29925	0.4334976829	1
11164	1.7007005446	1
50700	nan	1
1579	nan	1
8760	1.0732342231	1
1573	nan	1
1572	nan	1
79717	0.3149301288	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.5988705621	1
51478	0	1
8540	2.0042655918	1
6572	nan	1
6573	0.1321603853	1
6570	nan	1
6571	nan	1
6576	1.6671326675	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.4954553807	1
8509	nan	1
1373	nan	1
1374	nan	1
1376	1.1460121372	1
28965	nan	1
2744	3.2125603167	1
23475	1.5783386169	1
2747	nan	1
2746	2.1692883344	1
23478	2.0433657465	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.5713663036	1
65263	1.3072220629	1
128869	0.9349480285	1
6783	nan	1
4729	1.2215867112	1
4728	1.4756278034	1
4724	nan	1
4726	0.8358584464	1
4720	1.3384965695	1
4723	0.8353151028	1
4722	1.7871466426	1
64849	nan	1
64841	1.5229159538	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
