gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	0.9947666161	1
55907	nan	1
10965	0	1
4731	0.2263368371	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.5320393341	1
51604	0.7826894205	1
290	nan	1
51606	0.8394706484	1
586	nan	1
4832	1.2411425798	1
587	0.9434568295	1
56052	0	1
4522	1.8860663222	1
270	nan	1
271	nan	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	1.4816103242	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	nan	1
53354	nan	1
10380	1.1648357075	1
8942	nan	1
7264	1.1632646515	1
84693	0.421709681	1
7263	0.913843438	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.6031228997	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	nan	1
1622	nan	1
1621	nan	1
10090	nan	1
5184	1.3021671361	1
1629	nan	1
8836	1.6427911855	1
8833	2.3560573617	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.5602429032	1
4258	nan	1
23057	nan	1
4257	0.7646060841	1
1178	nan	1
5538	1.6063955858	1
29925	0.6402939153	1
11164	1.8736126157	1
50700	nan	1
1579	nan	1
8760	0.0147426057	1
1573	nan	1
1572	nan	1
79717	1.1399186676	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.8911637338	1
51478	0.8140333677	1
8540	2.0053181241	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.3293205067	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.3340017573	1
8509	nan	1
1373	2.5456397177	1
1374	2.2511073858	1
1376	1.5505901365	1
28965	nan	1
2744	2.4533073316	1
23475	nan	1
2747	nan	1
2746	2.131764963	1
23478	1.6266039956	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.421991416	1
128869	0.1686781045	1
6783	nan	1
4729	1.1903684266	1
4728	1.24729206	1
4724	nan	1
4726	nan	1
4720	1.2787210898	1
4723	0.9113862426	1
4722	1.5903153693	1
64849	nan	1
64841	1.3717673245	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	1.924218328	1
293	3.1735011668	1
