gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	1.1426547031	1
55907	nan	1
10965	nan	1
4731	nan	1
81539	1.5453854097	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.7962950842	1
51604	0.971282591	1
290	nan	1
51606	0.0832343046	1
586	nan	1
4832	nan	1
587	1.3649479739	1
56052	0.3237062153	1
4522	2.517976654	1
270	nan	1
271	0.1356976326	1
275	nan	1
80201	2.3416934266	1
108	nan	1
109	nan	1
56901	nan	1
100	1.1002830039	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	2.2313720645	1
53354	nan	1
10380	1.0826686809	1
8942	nan	1
7264	1.4085191842	1
84693	nan	1
7263	1.8555194774	1
5296	nan	1
2686	0.6563819742	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.167849645	1
98	nan	1
10560	nan	1
10568	1.4995266255	1
95	nan	1
97	1.0954892408	1
1622	1.9886757062	1
1621	nan	1
10090	nan	1
5184	1.3866539063	1
1629	nan	1
8836	1.8556336357	1
8833	2.2845187728	1
3340	0.1136564532	1
5051	nan	1
1757	nan	1
4259	1.3523371194	1
4258	1.4730312664	1
23057	nan	1
4257	2.3396896401	1
1178	nan	1
5538	1.5599150101	1
29925	0.3630488881	1
11164	1.4503896397	1
50700	nan	1
1579	nan	1
8760	0.7021805068	1
1573	nan	1
1572	nan	1
79717	0.4860801981	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.3737546569	1
51478	0.9909080784	1
8540	1.979301969	1
6572	nan	1
6573	0.1630653131	1
6570	nan	1
6571	nan	1
6576	1.8918516193	1
6574	nan	1
6575	0.5086881649	1
6578	nan	1
6579	nan	1
1371	1.6494312607	1
8509	nan	1
1373	nan	1
1374	2.211154949	1
1376	1.7835232818	1
28965	nan	1
2744	3.5019385086	1
23475	1.7258987065	1
2747	nan	1
2746	2.7050960364	1
23478	1.7754862862	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.3950353677	1
128869	0.4426439194	1
6783	nan	1
4729	1.1844909362	1
4728	1.2533972053	1
4724	nan	1
4726	0.9679383789	1
4720	1.4916096107	1
4723	1.031845939	1
4722	1.8979469807	1
64849	nan	1
64841	1.4840341631	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
