gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	0.1230574159	1
51268	nan	1
343	nan	1
3992	0.442711616818	1
3990	nan	1
55902	0.889090291086	1
55907	0.622132709938	1
10965	nan	1
4731	1.27775767324	1
81539	0.793406102061	1
81537	0.456010141833	1
154091	nan	1
55586	nan	1
292	2.45504624195	1
51604	1.27581584871	1
290	0.264697837862	1
51606	0.975350099539	1
586	1.41671684919	1
4832	nan	1
587	1.01692660711	1
56052	0.633437676336	1
4522	2.34187825735	1
270	nan	1
271	1.19002808421	1
275	nan	1
80201	0.273688279269	1
108	nan	1
109	nan	1
56901	nan	1
100	2.21407977169	1
107	nan	1
9435	nan	1
79813	0.486562902497	1
84129	nan	1
79814	nan	1
9415	1.19554542215	1
10632	2.03812245512	1
53354	nan	1
10380	1.4012172207	1
8942	0.642711509185	1
7264	1.08642938791	1
84693	0.836502791084	1
7263	1.04502629837	1
5296	1.05573571393	1
2686	0.3206938379	1
2687	nan	1
5294	nan	1
2683	0.158514782759	1
10164	nan	1
2739	1.97085534924	1
98	1.2390699024	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.6530428835	1
1622	2.18065773646	1
1621	nan	1
10090	nan	1
5184	1.48130806846	1
1629	0.615294600306	1
8836	1.59088429467	1
8833	2.16435256921	1
3340	nan	1
5051	0.0206939128778	1
1757	nan	1
4259	0.922012472559	1
4258	0.783210766243	1
23057	nan	1
4257	0.333738142564	1
1178	nan	1
5538	1.28681319631	1
29925	1.22191850572	1
11164	1.94293293847	1
50700	nan	1
1579	nan	1
8760	0.4377826656	1
1573	1.06012388777	1
1572	nan	1
79717	1.2083172128	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.4012172207	1
51478	0.788415901242	1
8540	1.75800313472	1
6572	nan	1
6573	0.721687600533	1
6570	nan	1
6571	nan	1
6576	1.40485549465	1
6574	0.0211733983145	1
6575	nan	1
6578	0.6351696899	1
6579	nan	1
1371	1.1824437693	1
8509	nan	1
1373	0.48761474109	1
1374	1.63152162959	1
1376	1.39901914811	1
28965	nan	1
2744	2.67239831769	1
23475	0.751565373342	1
2747	nan	1
2746	1.87959215636	1
23478	1.56180225612	1
4598	0.49241309178	1
253430	nan	1
196743	nan	1
4842	0.0342858577826	1
4843	nan	1
55753	0.293170236289	1
51292	1.13061775215	1
65263	1.1816099468	1
128869	0.264232778797	1
6783	nan	1
4729	1.23502834632	1
4728	1.29001666172	1
4724	0.808445377362	1
4726	1.45027228314	1
