gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	0.183833486	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	nan	1
55907	1.056852754	1
10965	nan	1
4731	0.8754208126	1
81539	0.7072334032	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.614100188	1
51604	1.37897908	1
290	nan	1
51606	1.0668946923	1
586	nan	1
4832	nan	1
587	1.3352072228	1
56052	0.4646368869	1
4522	1.5162118707	1
270	nan	1
271	nan	1
275	nan	1
80201	nan	1
108	nan	1
109	nan	1
56901	nan	1
100	0.18683987	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	0.9858324867	1
10632	2.1862392865	1
53354	nan	1
10380	1.0827055918	1
8942	0.8666375807	1
7264	0.924669994	1
84693	nan	1
7263	1.0939274485	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.1818306621	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	0.5525963122	1
1622	1.5867646047	1
1621	nan	1
10090	nan	1
5184	1.4412720798	1
1629	nan	1
8836	1.850267009	1
8833	1.9538512133	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	nan	1
4258	nan	1
23057	nan	1
4257	2.0514856322	1
1178	nan	1
5538	1.7352402209	1
29925	nan	1
11164	1.3523371194	1
50700	nan	1
1579	nan	1
8760	0.7776771826	1
1573	nan	1
1572	nan	1
79717	nan	1
516	nan	1
1577	nan	1
1576	nan	1
51477	nan	1
51478	0.2594177152	1
8540	2.2021844696	1
6572	nan	1
6573	0.9085936957	1
6570	nan	1
6571	nan	1
6576	1.6907890629	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.9599655915	1
8509	nan	1
1373	1.1180847822	1
1374	0.8190292286	1
1376	1.374226494	1
28965	nan	1
2744	3.6823622946	1
23475	nan	1
2747	nan	1
2746	2.2906975906	1
23478	1.0200122192	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.4315734685	1
65263	0.5246315223	1
128869	nan	1
6783	nan	1
4729	1.3331386574	1
4728	0.869089091	1
4724	nan	1
4726	1.1808257759	1
4720	nan	1
4723	nan	1
4722	1.5010083389	1
64849	nan	1
64841	0.7527104154	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.01283932	1
