gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	0.4219069147	1
55907	nan	1
10965	nan	1
4731	0.597894872	1
81539	0.6244535822	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.3443283888	1
51604	0.4961919767	1
290	nan	1
51606	0.4725050766	1
586	nan	1
4832	1.3584438706	1
587	1.2419533485	1
56052	nan	1
4522	2.5872076346	1
270	nan	1
271	0.4723546194	1
275	nan	1
80201	2.1649731594	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	1.9352850359	1
53354	nan	1
10380	1.0581500613	1
8942	nan	1
7264	0.556684357	1
84693	nan	1
7263	1.4879472999	1
5296	nan	1
2686	0.5971428468	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.1580208513	1
98	nan	1
10560	nan	1
10568	2.2789560553	1
95	nan	1
97	nan	1
1622	1.8654015437	1
1621	nan	1
10090	nan	1
5184	1.0820037464	1
1629	nan	1
8836	1.5846782254	1
8833	1.984700759	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	0.4379455871	1
4258	1.444412833	1
23057	nan	1
4257	0.9482787203	1
1178	nan	1
5538	1.7170948043	1
29925	0.7075107817	1
11164	1.7238655217	1
50700	nan	1
1579	nan	1
8760	0.9445151453	1
1573	nan	1
1572	nan	1
79717	nan	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.9777380974	1
51478	0.6190304982	1
8540	1.8353477226	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	2.0738059816	1
6574	nan	1
6575	1.4429124002	1
6578	nan	1
6579	nan	1
1371	1.2394736134	1
8509	nan	1
1373	nan	1
1374	nan	1
1376	1.2802851303	1
28965	nan	1
2744	3.9183145889	1
23475	1.174308962	1
2747	nan	1
2746	2.5438351527	1
23478	1.4167209936	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	0.8127639179	1
65263	0.9088508105	1
128869	0	1
6783	nan	1
4729	1.3950053988	1
4728	1.1859532331	1
4724	nan	1
4726	nan	1
4720	nan	1
4723	0.635893141	1
4722	1.8591577408	1
64849	nan	1
64841	1.0740821665	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
