gene	mean	var
55349	nan	1
55343	nan	1
84912	nan	1
23443	0.321440018	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	0.3806860316	1
55907	0.2488473921	1
10965	0.2083035834	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.4020803045	1
51604	0.8476114744	1
290	1.8440559699	1
51606	1.2453083022	1
586	nan	1
4832	0	1
587	0.7959856813	1
56052	nan	1
4522	2.5254090915	1
270	nan	1
271	1.0280045363	1
275	nan	1
80201	0.4704694942	1
108	nan	1
109	nan	1
56901	nan	1
100	nan	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	1.1934349536	1
10632	1.8380250485	1
53354	nan	1
10380	1.2325978446	1
8942	1.3637257861	1
7264	1.0246635506	1
84693	nan	1
7263	nan	1
5296	nan	1
2686	nan	1
2687	nan	1
5294	nan	1
2683	1.1285996257	1
10164	nan	1
2739	1.7733971552	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.0900435837	1
1622	2.3288321434	1
1621	nan	1
10090	nan	1
5184	1.4226949549	1
1629	0	1
8836	1.2998600226	1
8833	2.1498026295	1
3340	nan	1
5051	nan	1
1757	nan	1
4259	1.5980826751	1
4258	nan	1
23057	nan	1
4257	1.5112640863	1
1178	nan	1
5538	1.8234768886	1
29925	1.0184173527	1
11164	1.6120504703	1
50700	nan	1
1579	nan	1
8760	0.9114318728	1
1573	nan	1
1572	nan	1
79717	0.4986068345	1
516	nan	1
1577	nan	1
1576	nan	1
51477	0.3806860316	1
51478	0.3119286228	1
8540	1.9623338771	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	1.7662536809	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.2491410185	1
8509	nan	1
1373	nan	1
1374	1.703964544	1
1376	1.1539990481	1
28965	nan	1
2744	3.760504504	1
23475	nan	1
2747	nan	1
2746	1.8565147577	1
23478	1.7330165141	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	nan	1
128869	0.4768706341	1
6783	nan	1
4729	0.8838841039	1
4728	1.3136308174	1
4724	nan	1
4726	1.187226903	1
4720	0.8738713909	1
4723	0.5839611359	1
4722	1.9237307103	1
64849	nan	1
64841	1.4884067812	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
