gene	mean	var
55349	nan	1
55343	0	1
84912	nan	1
23443	nan	1
55293	nan	1
51268	nan	1
343	nan	1
3992	nan	1
3990	nan	1
55902	1.2651942912	1
55907	0.7048024256	1
10965	0	1
4731	nan	1
81539	nan	1
81537	nan	1
154091	nan	1
55586	nan	1
292	2.7464180062	1
51604	1.0054283819	1
290	nan	1
51606	1.2119916477	1
586	nan	1
4832	1.1561392935	1
587	1.6649328904	1
56052	0.7792389042	1
4522	2.6812976691	1
270	nan	1
271	1.4241546753	1
275	nan	1
80201	1.7711088749	1
108	nan	1
109	nan	1
56901	nan	1
100	0.3607849111	1
107	nan	1
9435	nan	1
79813	nan	1
84129	nan	1
79814	nan	1
9415	nan	1
10632	2.195057508	1
53354	nan	1
10380	1.5877463661	1
8942	nan	1
7264	1.2315642302	1
84693	0.2431454133	1
7263	0.8825499845	1
5296	nan	1
2686	0.4278660203	1
2687	nan	1
5294	nan	1
2683	nan	1
10164	nan	1
2739	2.015015878	1
98	nan	1
10560	nan	1
10568	nan	1
95	nan	1
97	1.2105687576	1
1622	2.4584660012	1
1621	nan	1
10090	nan	1
5184	1.746524742	1
1629	nan	1
8836	1.8141361336	1
8833	2.2906594829	1
3340	nan	1
5051	nan	1
1757	0.7333741733	1
4259	1.2050761603	1
4258	1.2690164452	1
23057	nan	1
4257	1.6929072816	1
1178	nan	1
5538	1.7380379482	1
29925	1.0323712256	1
11164	1.4013720711	1
50700	nan	1
1579	nan	1
8760	0.7823210309	1
1573	nan	1
1572	nan	1
79717	0.4468666313	1
516	nan	1
1577	nan	1
1576	nan	1
51477	1.473781862	1
51478	0.3078086006	1
8540	1.9465399105	1
6572	nan	1
6573	nan	1
6570	nan	1
6571	nan	1
6576	2.0699461775	1
6574	nan	1
6575	nan	1
6578	nan	1
6579	nan	1
1371	1.7882265702	1
8509	nan	1
1373	nan	1
1374	nan	1
1376	1.8030701919	1
28965	nan	1
2744	3.3921459621	1
23475	nan	1
2747	0.6454594106	1
2746	2.1912796416	1
23478	1.6990220954	1
4846	nan	1
253430	nan	1
196743	nan	1
4842	nan	1
4843	nan	1
55753	nan	1
51292	nan	1
65263	1.1556299242	1
128869	1.1003361687	1
6783	nan	1
4729	1.1343724907	1
4728	1.425944545	1
4724	nan	1
4726	1.1900946889	1
4720	1.4431538911	1
4723	0.9352418445	1
4722	1.9889658773	1
64849	nan	1
64841	1.2013567296	1
11282	nan	1
11285	nan	1
247	nan	1
117247	nan	1
240	nan	1
242	nan	1
117248	nan	1
248	nan	1
81616	nan	1
2271	2.140511414	1
293	3.561899074	1
64600	nan	1
51102	0.3988841194	1
291	1.3070386072	1
51109	1.9022556789	1
9536	nan	1
125061	nan	1
9245	nan	1
122970	nan	1
56913	nan	1
178	nan	1
175	nan	1
2053	nan	1
2052	1.7721916529	1
4538	0.7859909402	1
30061	nan	1
4535	0.9286350546	1
4536	0.3515759829	1
26035	0	1
10400	nan	1
9334	nan	1
10402	nan	1
9331	nan	1
53343	0.5771974447	1
10390	1.0864724225	1
10396	nan	1
54965	nan	1
54963	nan	1
2694	nan	1
54981	nan	1
84649	nan	1
6817	0.7952589082	1
5198	2.2775836279	1
10087	0.4263629808	1
1962	0.9708928289	1
115019	nan	1
2877	nan	1
2875	nan	1
54187	1.5532213464	1
2878	nan	1
54344	1.4277826545	1
11238	nan	1
79017	1.6216704859	1
23517	1.2475025658	1
1544	nan	1
1545	nan	1
1543	nan	1
11112	1.9620740781	1
1549	nan	1
8714	nan	1
83733	nan	1
549	nan	1
8029	nan	1
51447	nan	1
765	nan	1
8534	nan	1
6568	nan	1
6565	nan	1
6564	nan	1
6567	nan	1
6566	2.4285723013	1
6561	nan	1
6560	nan	1
6563	nan	1
410	0	1
411	nan	1
412	nan	1
1384	0.5652330929	1
23464	0.8584572657	1
55326	0.4359046619	1
65985	0.7239217374	1
8443	0.6920914779	1
256435	nan	1
55748	1.249853286	1
366	nan	1
383	nan	1
384	nan	1
4758	0.667740856	1
4759	nan	1
92745	nan	1
27159	nan	1
9962	0.4732565813	1
9963	nan	1
60481	1.307332099	1
2194	3.5048419552	1
250	nan	1
251	nan	1
55811	nan	1
2203	nan	1
124935	nan	1
57678	nan	1
201562	0.8266388087	1
63917	nan	1
57419	nan	1
94005	1.099005092	1
79837	0.5163478781	1
7841	2.2186008408	1
4831	3.2431879266	1
4830	nan	1
4524	nan	1
84105	0.2387011527	1
4837	1.8119270273	1
7991	0.4929511359	1
2519	0.4952412961	1
2517	nan	1
9615	nan	1
2730	nan	1
2731	nan	1
5298	nan	1
9348	nan	1
10166	0.2521497098	1
10165	2.474256569	1
5295	0.9882018525	1
5293	nan	1
5290	nan	1
5291	nan	1
9187	nan	1
57094	nan	1
5050	1.6494479428	1
83852	nan	1
5052	2.7666232119	1
5053	nan	1
84076	nan	1
1811	nan	1
10768	1.3293902281	1
54407	nan	1
54995	0.6901667666	1
4952	0.3670625805	1
4953	nan	1
1609	nan	1
9296	1.2488893509	1
1603	2.0651047074	1
1607	nan	1
1606	nan	1
8854	nan	1
5476	1.9747590244	1
5471	0.7487866975	1
347734	1.9073611058	1
5277	nan	1
5279	nan	1
7054	nan	1
2998	nan	1
1158	nan	1
8639	nan	1
8140	1.5390218503	1
1152	1.3384624335	1
1555	nan	1
1551	nan	1
1553	nan	1
29124	nan	1
3038	nan	1
1557	nan	1
55	nan	1
54	0.7954854106	1
2992	nan	1
3037	nan	1
3030	2.4862745568	1
50	2.8032224177	1
3032	2.0709585931	1
52	1.896664874	1
8703	nan	1
3034	nan	1
535	nan	1
534	nan	1
533	nan	1
5805	nan	1
8705	nan	1
8704	nan	1
3036	nan	1
8034	nan	1
51	1.3687214126	1
132789	nan	1
5137	nan	1
8529	nan	1
8528	nan	1
53	0.345236779	1
3295	2.3561556963	1
9990	nan	1
2997	nan	1
8527	nan	1
8526	nan	1
8525	nan	1
6518	0.9322947018	1
6519	nan	1
28231	nan	1
28232	nan	1
6510	1.7997784633	1
6511	nan	1
6512	nan	1
6513	1.2040399735	1
6514	nan	1
6515	0.8014979773	1
6517	nan	1
3292	nan	1
3620	nan	1
3293	nan	1
427	1.5675356548	1
8706	nan	1
23498	nan	1
51056	1.8053363454	1
27010	nan	1
23382	nan	1
50506	nan	1
55790	nan	1
10998	nan	1
10999	0.9538429368	1
84812	0.463486505	1
10993	nan	1
55315	nan	1
55312	0.5781617349	1
27124	nan	1
60490	0.0617155578	1
64132	nan	1
64131	nan	1
124637	nan	1
2182	1.5845426506	1
2181	2.8307349673	1
2180	1.4948604404	1
229	nan	1
2184	1.3401999545	1
226	3.2345146294	1
225	0.6875158343	1
224	1.1362309099	1
223	1.4481413913	1
222	nan	1
220	0.7769439652	1
27235	nan	1
27232	nan	1
6697	1.7943397661	1
9856	nan	1
159	1.4533867804	1
93979	nan	1
