gene	mean	var
55349	0.0	1
55343	0.1194116394	1
84912	0.55469388469	1
23443	0.0	1
55293	0.479950834063	1
51268	0.0	1
343	0.0	1
3992	1.19071328318	1
3990	0.0	1
55902	0.0	1
55907	0	1
10965	0.392341006125	1
4731	0.7752615931	1
81539	0.404518573061	1
81537	0.349376792721	1
154091	0.0	1
55586	0.0	1
292	2.6736028124	1
51604	1.1660052031	1
290	1.7319831517	1
51606	0.3023526607	1
586	0.0	1
4832	0.361225083157	1
587	0.173554612041	1
56052	0.6295828276	1
4522	2.4663694808	1
270	0.0	1
271	0.419035178347	1
275	0.0	1
80201	0.0	1
108	0.0	1
109	0.172149777895	1
56901	0.0	1
100	0.5972369212	1
107	0.0	1
9435	0.290972419129	1
79813	0.3288329015	1
84129	0.111470483373	1
79814	0.0	1
9415	0.0251588273262	1
10632	2.2040353213	1
53354	0.0	1
10380	0.6344622995	1
8942	1.549793458	1
7264	1.3280636041	1
84693	0.0	1
7263	0.0	1
5296	0.711241484883	1
2686	0.0	1
2687	0.0	1
5294	0.0	1
2683	0.0592980092973	1
10164	0.0	1
2739	2.528108643	1
98	0.0	1
10560	0.314634951879	1
10568	0.0	1
95	0.0	1
97	0.0572769239	1
1622	2.0702818016	1
1621	0.0	1
10090	0.0	1
5184	1.336615097	1
1629	0.629770254543	1
8836	1.6489806005	1
8833	2.3423705835	1
3340	0.0	1
5051	0.0	1
1757	0.0	1
4259	1.5799077433	1
4258	0.0	1
23057	0.0	1
4257	0.0	1
1178	0.0	1
5538	1.7382011606	1
29925	0.529239816305	1
11164	1.9654071669	1
50700	0.0	1
1579	0.0	1
8760	0.383570439008	1
1573	0.0	1
1572	0.0	1
79717	0.63877274817	1
516	1.24417843179	1
1577	0.0	1
1576	0.0	1
51477	1.2464068198	1
51478	0.2588850144	1
8540	1.9960602346	1
6572	0.0	1
6573	0.597937317917	1
6570	0.0	1
6571	0.0	1
6576	1.0812760782	1
6574	2.49830662935	1
6575	0.0	1
6578	0.0	1
6579	0.0	1
1371	1.4415952556	1
8509	0.178412368186	1
1373	0.0902389414423	1
1374	0	1
1376	0.0	1
28965	0.0	1
2744	3.4169218985	1
23475	0.0	1
2747	0.322278616963	1
2746	2.226972752	1
23478	3.48041056673	1
4846	0.0	1
253430	0.0	1
196743	0.0	1
4842	0.0	1
4843	0.0	1
55753	0.0	1
51292	0.448297288137	1
65263	0.92804810296	1
128869	0.6690663131	1
6783	0.0	1
4729	1.3560245786	1
4728	2.52159157729	1
4724	1.28379008539	1
4726	1.3813669381	1
4720	1.5669914134	1
4723	0.9352591216	1
4722	2.1333882906	1
64849	0.0	1
64841	1.4880924518	1
11282	0.0178891875	1
11285	0.0	1
247	0.0	1
117247	0.0	1
240	0.0	1
242	0.0	1
117248	0.0	1
248	0.0	1
81616	0.0	1
2271	2.1293682642	1
293	3.2183128262	1
64600	0.0	1
51102	0.2533141503	1
291	0.2548481022	1
51109	1.6195669292	1
9536	0.199054766905	1
125061	0.0	1
9245	0.0	1
122970	0.0	1
56913	0.140270543025	1
178	0.183989752617	1
175	0.0166134292562	1
2053	0.0	1
2052	0.0	1
4538	3.72874511376	1
30061	0.0	1
4535	0	1
4536	3.65498392813	1
26035	0.0	1
10400	0.675765820983	1
9334	0.9018547156	1
10402	0.10115189374	1
9331	0.744237969682	1
53343	0.2178353815	1
10390	0.174368153446	1
10396	0.0	1
54965	0.13784535825	1
54963	0.290074807677	1
2694	0.0	1
54981	0.0	1
84649	0.0	1
6817	0.0	1
5198	2.0630241893	1
10087	0	1
1962	0.0	1
115019	0.0	1
2877	0.0	1
2875	0.0	1
54187	0.819700636916	1
2878	0.0	1
54344	0.0708555843592	1
11238	0.0	1
79017	0.953909144	1
23517	1.3732823067	1
1544	0.0	1
1545	0.0	1
1543	0.0	1
11112	0.633753755	1
1549	0.0	1
8714	0.0	1
83733	0.0	1
549	0.249819148803	1
8029	0.0	1
51447	0.322093169117	1
765	0.0	1
8534	0.0	1
6568	0.0	1
6565	0.0	1
6564	0.0	1
6567	0.0	1
6566	1.25327200578	1
6561	0.0	1
6560	0.0402750839021	1
6563	0.0	1
410	0.0	1
411	0.0	1
412	0.0	1
1384	0.197120087461	1
23464	0.0	1
55326	0.957247763	1
65985	0.0792840644354	1
8443	0.841154499706	1
256435	0.0	1
55748	1.9625205116	1
366	0.0	1
383	0.0	1
384	0.0	1
4758	0.5935338615	1
4759	0.0	1
92745	0.0	1
27159	0.0	1
9962	0.218306141713	1
9963	0.0	1
60481	3.27323770709	1
2194	3.3248348949	1
250	0.0	1
251	0.0	1
55811	0.0	1
2203	0.0	1
124935	0.0	1
57678	1.55365662048	1
201562	0.679143240855	1
63917	0.376467896932	1
57419	0.0	1
94005	1.4880924518	1
79837	0.507035307354	1
7841	1.9423024449	1
4831	3.3822320053	1
4830	3.0142314376	1
4524	0.0	1
84105	0.5769215395	1
4837	1.1669385374	1
7991	1.171089142	1
2519	0.667982101313	1
2517	0.0	1
9615	0.0	1
2730	0.672180928621	1
2731	0.0	1
5298	0.665528686078	1
9348	0.0	1
10166	0.426503773848	1
10165	2.1582070086	1
5295	0.181472596555	1
5293	0.310352402959	1
5290	0.291685114692	1
5291	0.0	1
9187	0.0	1
57094	0.0	1
5050	1.8593841235	1
83852	0.0	1
5052	3.2770727625	1
5053	0.0	1
84076	0.0	1
1811	0.0	1
10768	1.32179933762	1
54407	1.3678608868	1
54995	0.2307250642	1
4952	0.0205554081692	1
4953	2.23981865191	1
1609	0.0	1
9296	2.147143667	1
1603	2.1793116111	1
