gene	mean	var
55349	0.0	1
55343	0.0	1
84912	1.31635174486	1
23443	0.107085147011	1
55293	0.0	1
51268	0.0	1
343	0.0	1
3992	0.393355002926	1
3990	0.0	1
55902	0.585529442	1
55907	0	1
10965	1.0306062346	1
4731	0.4117031756	1
81539	0.0	1
81537	0.54450261787	1
154091	0.0	1
55586	0.0	1
292	2.8795061377	1
51604	1.0969740097	1
290	0.0	1
51606	1.6405493977	1
586	0.0	1
4832	0.5040266409	1
587	0.9275724472	1
56052	1.2762462469	1
4522	2.936213093	1
270	0.0	1
271	0.4152932374	1
275	0.205696175986	1
80201	0.0	1
108	0.0	1
109	0.0	1
56901	0.0	1
100	0.143381351831	1
107	0.0	1
9435	0.804945886004	1
79813	0.0899007625105	1
84129	0.351773678221	1
79814	0.0	1
9415	0.8675067764	1
10632	2.0543449669	1
53354	0.0	1
10380	1.405194593	1
8942	0.0	1
7264	0.9202036069	1
84693	0.4557905341	1
7263	1.6081786856	1
5296	0.367119575815	1
2686	0.4062764191	1
2687	0.0	1
5294	0.0	1
2683	0.0744792089408	1
10164	0.0	1
2739	2.2573652799	1
98	0.0	1
10560	0.599645759587	1
10568	0.0	1
95	0.218122889101	1
97	0.9504612563	1
1622	2.638039166	1
1621	0.0	1
10090	0.0	1
5184	2.124635368	1
1629	1.01689959127	1
8836	1.624064667	1
8833	2.0676341016	1
3340	0.0	1
5051	0.0	1
1757	1.7136262777	1
4259	1.3299475966	1
4258	0.8423474922	1
23057	0.0	1
4257	0.0	1
1178	0.0	1
5538	2.0119931436	1
29925	0.5794571998	1
11164	1.3861648015	1
50700	0.403264849028	1
1579	0.0	1
8760	1.4359592112	1
1573	0.0	1
1572	0.0	1
79717	0.889256808	1
516	0.869315720029	1
1577	0.0	1
1576	0.0	1
51477	1.601840396	1
51478	1.1738503985	1
8540	1.886356458	1
6572	0.0	1
6573	0.14170251422	1
6570	0.0	1
6571	0.0	1
6576	2.02879922	1
6574	1.6582853925	1
6575	0.0	1
6578	0.0	1
6579	0.0	1
1371	2.0525353628	1
8509	0.073107700075	1
1373	1.2912688053	1
1374	1.0277951672	1
1376	1.7334566682	1
28965	0.0	1
2744	3.016067433	1
23475	0.557302489244	1
2747	0.170690462617	1
2746	2.2878685496	1
23478	3.84489581867	1
4846	0.0	1
253430	0.0	1
196743	0.0	1
4842	0.0	1
4843	0.0	1
55753	0	1
51292	0.4039926567	1
65263	0.8289400637	1
128869	0.8004270249	1
6783	0.0	1
4729	0.8777247675	1
4728	1.55862366194	1
4724	0.317292934168	1
4726	0.7832046415	1
4720	1.290888079	1
4723	0.7540760398	1
4722	1.705007974	1
64849	0.0	1
64841	1.0207223266	1
11282	0.745065926322	1
11285	0.0	1
247	0.0	1
117247	0.0	1
240	0.0	1
242	0.0	1
117248	0.0	1
248	0.0	1
81616	0.0	1
2271	2.4285878549	1
293	3.6636593223	1
64600	0.0	1
51102	1.0453815054	1
291	1.8032341252	1
51109	2.0538916289	1
9536	0.0	1
125061	0.0	1
9245	0.0	1
122970	0.0	1
56913	0.0724345111554	1
178	0.432661398966	1
175	1.6817470007	1
2053	0.0489755125756	1
2052	2.4229479502	1
4538	4.93508463755	1
30061	0.0	1
4536	0.1587495118	1
26035	0.4095927706	1
10400	0.484264788865	1
9334	0.4354407157	1
10402	1.76444757061	1
9331	0.511185803083	1
53343	0.1633821672	1
10390	0.0409479655	1
10396	0.0	1
54965	0.898241096811	1
54963	0.282845862156	1
2694	0.0	1
54981	0.0	1
84649	0.0	1
6817	0.0	1
5198	2.1201100226	1
10087	0.5801621917	1
1962	1.1322536964	1
115019	0.0	1
2877	0.0	1
2875	0.0	1
54187	1.5035833999	1
2878	0.0	1
54344	1.304720402	1
11238	0.0	1
79017	1.1721915443	1
23517	1.339519402	1
1544	0.0	1
1545	0.0	1
1543	0.0	1
11112	2.2299324879	1
1549	0.0	1
8714	0.0	1
83733	0.0	1
549	0.294219745118	1
8029	0.0	1
51447	0.380705946789	1
765	0.0	1
8534	0.0	1
6568	0.0	1
6565	0.0	1
6564	0.0	1
