gene	mean	var
55349	0.0	1
55343	0.0652843461055	1
84912	0.187482341035	1
23443	0.0937022029161	1
55293	0.0	1
51268	0.0	1
343	0.0	1
3992	1.85428011021	1
3990	0.0	1
55902	1.07182991	1
55907	0.0	1
10965	0.0	1
4731	1.23582936396	1
81539	1.93587531932	1
81537	0.395209324657	1
154091	0.0295525363756	1
55586	0.0	1
292	2.3996557239	1
51604	1.274825693	1
290	0.0	1
51606	0.570432438081	1
586	0.588730086921	1
4832	1.309636442	1
587	1.253853724	1
56052	0.153870654568	1
4522	2.8641212773	1
270	0.0	1
271	0.5332617773	1
272	0	1
275	0.0194438707806	1
80201	0.0	1
108	0.0	1
109	0.0	1
56901	0.0	1
100	1.5051909076	1
107	0.0	1
9435	0.0	1
79813	0.222529985891	1
84129	0.0	1
79814	0.8348363975	1
9415	1.5587243178	1
10632	2.3324815523	1
53354	0.0	1
10380	1.8319639896	1
8942	0.0	1
7264	1.6607597493	1
84693	0.1197712549	1
7263	0.4299173289	1
5296	0.478690887066	1
2686	0.0762712878752	1
2687	0.0	1
5294	0.0	1
2683	0.0951430297708	1
10164	0.0	1
2739	2.1837944947	1
98	0.345809713319	1
10560	0.0	1
10568	0.0	1
95	0.800926451506	1
97	1.1508082154	1
1622	2.294340449	1
1621	0.0	1
10090	0.0	1
5184	1.6506141031	1
1629	1.08126210865	1
8836	1.3800660979	1
8833	2.5312078551	1
3340	0.0	1
5051	0.0	1
1757	1.4902879953	1
4259	0.20632446745	1
4258	0.0	1
23057	0.0	1
4257	1.6932392072	1
1178	0.0	1
5538	1.0757606014	1
29925	1.5779847808	1
11164	2.2129908286	1
50700	0.0	1
1579	0.0	1
8760	0.255587116586	1
1573	0.0	1
1572	0.0	1
79717	0.7331541102	1
516	0.85552059989	1
1577	0.0	1
1576	0.0	1
51477	1.016981242	1
51478	0.607685174764	1
8540	1.7423559548	1
6572	0.0	1
6573	0.6122685991	1
6570	0.0	1
6571	0.0	1
6576	0.8208879589	1
6574	0.214844215356	1
6575	0.0	1
6578	0.0	1
6579	0.0	1
1371	1.5566430468	1
8509	0.0	1
1373	0.0	1
1374	2.0921433777	1
1376	1.6017659317	1
28965	0.0	1
2744	2.95297062739	1
23475	1.266807721	1
2747	0.116749867684	1
2746	2.0984477873	1
23478	4.01368649673	1
4846	0.0	1
253430	0.0	1
196743	0.0	1
4842	0.0	1
4843	0.0	1
55753	0.0	1
51292	0.488230084284	1
65263	1.4282270876	1
128869	0.320587136	1
6783	0.0	1
4729	1.2846733535	1
4728	1.81566670186	1
4724	0.955095230475	1
4726	0.971719663	1
4720	1.20747358455	1
4723	2.17250162608	1
4722	1.4517593226	1
64849	0.0	1
64841	1.2075428157	1
11282	0.743908405398	1
11285	0.0	1
247	0.0	1
117247	0.916910741451	1
240	0.0	1
242	0.0	1
117248	0.0	1
248	0.0	1
81616	0.0	1
2271	1.1397083176	1
293	3.0287156375	1
64600	0.0	1
51102	0.220317583092	1
291	0.3590954265	1
51109	0.9177012889	1
9536	0.0	1
125061	0.0	1
9245	0.0	1
122970	0.0	1
56913	0.0	1
178	0.0	1
175	0.0	1
2053	0.0	1
2052	0.354347242811	1
4538	0.2904688942	1
30061	0.0	1
4536	0.224285861	1
26035	0.0	1
10400	0.267785660356	1
9334	0.39987166181	1
10402	2.69191837825	1
9331	0.0	1
53343	0.542839504882	1
10390	0.148620517318	1
10396	0.0	1
54965	0.509796632526	1
54963	0.597408214561	1
2694	0.0	1
54981	0.864899785918	1
84649	0.206953034069	1
6817	0.311082061425	1
5198	2.296225738	1
10087	0.3782009695	1
1962	0.0	1
115019	0.0	1
2877	0.0	1
2875	0.0	1
54187	1.4399499434	1
2878	0.0	1
54344	1.8204605922	1
11238	0.0	1
79017	2.05093665	1
23517	1.4787776644	1
1544	0.0	1
1545	0.0	1
1543	0.0	1
11112	1.0268727418	1
1549	0.0	1
8714	0.0	1
83733	0.0	1
549	0.398303574102	1
8029	0.0	1
51447	0.736045873392	1
765	0.0	1
8534	0.0	1
6568	0.0	1
6565	0.0	1
6564	0.0	1
6567	0.0	1
6566	1.3431277549	1
6561	0.0	1
6560	0.0	1
6563	0.0	1
410	0.1107712233	1
411	0.0	1
412	0.2210994355	1
1384	0.27866313756	1
23464	0.568560914292	1
55326	0.5197342951	1
65985	1.229717674	1
8443	0.0824717693	1
256435	0.0	1
55748	1.5505901365	1
366	0.0	1
383	0.0	1
384	0.492702766638	1
4758	1.26213697469	1
4759	0.0	1
92745	1.0774076669	1
27159	0.0	1
9962	0.0	1
9963	0.0	1
60481	2.21333973861	1
2194	3.8071036631	1
250	0.0	1
251	0.0	1
55811	0.0	1
2203	0.0	1
124935	0.0	1
57678	0.0	1
201562	0.672507129471	1
63917	0.0	1
57419	0.0	1
94005	1.195057508	1
79837	0.0983945370629	1
7841	1.7963664535	1
4831	3.4216533121	1
4830	2.90114009633	1
4524	0.5033499334	1
84105	0.8839910454	1
4837	0.0	1
7991	0.0	1
2519	0.440074361803	1
2517	0.323508532973	1
9615	0.0	1
2730	0.7084438082	1
2731	0.0	1
5298	0.579126818282	1
9348	0.0	1
10166	0.0	1
10165	2.0428940534	1
5295	0.129480367929	1
5293	0.0	1
5290	1.09144037192	1
5291	0.0	1
9187	0.0	1
57094	0.0	1
5050	1.7572111878	1
83852	0.0	1
5052	3.5891477817	1
5053	0.0	1
84076	0.0	1
1811	0.0	1
10768	1.0169669284	1
54407	1.2498114202	1
54995	0.750682077581	1
4953	2.15897091238	1
1609	0.0	1
9296	2.0970240974	1
1603	2.2825430307	1
1607	0.0	1
1606	0.0	1
8854	0.0	1
5476	1.3711978408	1
