gene	mean	var
55349	0.0	1
55343	0.199619324825	1
84912	0.362736453713	1
23443	0.111621107573	1
55293	0.472534881138	1
51268	0.0	1
343	0.0	1
3992	1.0711970376	1
3990	0.0	1
55902	0.0552085024284	1
55907	0.6126863734	1
10965	0.465352332399	1
4731	0.3218303632	1
81539	1.48457395393	1
81537	0.473223787174	1
154091	0.0569397597102	1
55586	0.0	1
292	2.019421947	1
51604	0.7827385155	1
290	0.648094609	1
51606	1.3579219212	1
586	0.3057890496	1
4832	1.3152183375	1
587	1.3458748795	1
56052	0.3158661086	1
4522	2.5805142589	1
270	0.0	1
271	1.101769164	1
275	0.0	1
80201	2.0739754795	1
108	0.0	1
109	0.0	1
56901	0.0	1
100	0.219656849172	1
107	0.0	1
9435	0.0	1
79813	0.309438045176	1
84129	0.202314208261	1
79814	0.0	1
9415	1.2964138175	1
10632	1.9771423466	1
53354	0.0	1
10380	1.3174096621	1
8942	0.0	1
7264	1.2818435584	1
84693	0.0	1
7263	1.4231165319	1
5296	0.692880568752	1
2686	0.0	1
2687	0.0	1
5294	0.0	1
2683	0.5042830475	1
10164	0.0	1
2739	2.3050891983	1
98	0.0327468875	1
10560	0.0	1
10568	0.0	1
95	0.234097699758	1
97	0.1446114695	1
1622	2.380035078	1
1621	0.0	1
10090	0.0	1
5184	1.1715603168	1
1629	0.944365201956	1
8836	1.728896016	1
8833	2.3068550741	1
3340	0.443336497384	1
5051	0.00958296733611	1
1757	0.0	1
4259	1.105555856	1
4258	0.9576745719	1
23057	0.0	1
4257	2.1489531767	1
1178	0.0	1
5538	1.4616909432	1
29925	1.0088763146	1
11164	1.6059532744	1
50700	0.0	1
1579	0.0	1
8760	0.5543649112	1
1573	0.0	1
1572	0.0	1
79717	0.8218760385	1
516	0.914399758941	1
1577	0.0	1
1576	0.0	1
51477	0.0	1
51478	0.8696319968	1
8540	1.8860759965	1
6572	0.0	1
6573	0.110425441621	1
6570	0.0	1
6571	0.0	1
6576	1.7102603649	1
6574	0.99515800063	1
6575	0.0709163427481	1
6578	0.0	1
6579	0.0	1
1371	1.6827060842	1
8509	0.0	1
1373	1.1668574575	1
1374	0.401739493114	1
1376	1.3518408773	1
28965	0.0	1
2744	4.2725110113	1
23475	2.2210725971	1
2747	0.292778669634	1
2746	2.3540530485	1
23478	3.87401585746	1
4846	0.0	1
253430	0.0	1
196743	0.0	1
4842	0.0	1
4843	0.0	1
55753	0.126042901786	1
51292	0.5272032874	1
65263	0.8755388068	1
128869	0.4850827423	1
6783	0.0	1
4729	0.8821499244	1
4728	2.00179783282	1
4724	0.894772931933	1
4726	0.8163227002	1
4720	0.4128264633	1
4723	0.3568761367	1
4722	1.4681458426	1
64849	0.0	1
